time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:05.510000,[],0,4.4544497996714265e-19, 8.344966373301471e-20, -7.220160007476807, 1.0305165512995504e-20, 5.322380883490511e-20, 9.124081329916632e-20
1970/01/01/01:00:05.520000,[],0,2.5776604833316863e-19, 6.720374602959375e-20, -7.220160007476807, 1.0524001637042663e-20, 2.4196330233644575e-20, 4.147942418086906e-20
1970/01/01/01:00:05.530000,[],0,7.381492245193846e-20, 5.1276021443367206e-20, -7.220160007476807, 1.0737408580526375e-20, -4.253017377997799e-21, -7.290887049109593e-21
1970/01/01/01:00:05.540000,[],0,-1.0646457487236755e-19, 3.5661723992290104e-20, -7.220160007476807, 1.0945473585151872e-20, -3.213295211209328e-20, -5.508505891720319e-20
1970/01/01/01:00:05.550000,[],0,-1.2114458151508881e-19, -1.185977958066146e-19, -7.220160007476807, 3.362546381812597e-20, -3.3679395347829577e-20, -5.773610815695028e-20
1970/01/01/01:00:05.560000,[],0,-1.3551887383563784e-19, -2.697602706127641e-19, -7.220160007476807, 5.584848846145281e-20, -3.51915428998876e-20, -6.032835648737223e-20
1970/01/01/01:00:05.570000,[],0,-1.4959213703670292e-19, -4.178725169101243e-19, -7.220160007476807, 7.762147192158825e-20, -3.6669924680847266e-20, -6.28627280243096e-20
1970/01/01/01:00:05.580000,[],0,-1.6336897231044138e-19, -5.629807275660275e-19, -7.220160007476807, 9.895123520741158e-20, -3.811507383446276e-20, -6.534012749655738e-20
1970/01/01/01:00:05.590000,[],0,-1.7685392915022226e-19, -7.051304750623464e-19, -7.220160007476807, 1.198444991613998e-19, -3.952750734861693e-20, -6.776144670821348e-20
1970/01/01/01:00:05.600000,[],0,-1.9631626111737324e-19, -6.495456439587964e-19, -7.220160007476807, 1.1108992975086827e-19, -4.308167302738428e-20, -7.38542975415657e-20
1970/01/01/01:00:05.600000,[],0,-2.1536972029267867e-19, -5.9500760992043215e-19, -7.220160007476807, 1.024993359720783e-19, -4.6560442485787123e-20, -7.98179014042065e-20
1970/01/01/01:00:05.620000,[],0,-2.34020562229521e-19, -5.415007599131919e-19, -7.220160007476807, 9.407030736902613e-20, -4.9964985408910406e-20, -8.565426162418192e-20
1970/01/01/01:00:05.630000,[],0,-2.5227499078249435e-19, -4.890099461921081e-19, -7.220160007476807, 8.580044641040506e-20, -5.329643593892212e-20, -9.136532336840116e-20
1970/01/01/01:00:05.640000,[],0,-3.1182625632081275e-19, -4.752238956093579e-19, -7.220160007476807, 8.21394807285646e-20, -6.21013922809855e-20, -1.0645952777816127e-19
1970/01/01/01:00:05.650000,[],0,-3.7015528495590163e-19, -4.616659917793075e-19, -7.220160007476807, 7.854351981064345e-20, -7.072403284616336e-20, -1.212411936256956e-19
1970/01/01/01:00:05.660000,[],0,-2.6566427901455464e-19, -3.4899584979043033e-19, -7.220160007476807, 5.609773478212123e-20, -5.5545940690063e-20, -9.522161353472923e-20
1970/01/01/01:00:05.670000,[],0,-1.632365329395534e-19, -2.3854420620442037e-19, -7.220160007476807, 3.4095253938442076e-20, -4.0665853274331947e-20, -6.971289502019679e-20
1970/01/01/01:00:05.680000,[],0,-6.284101453323008e-20, -1.3027772822753114e-19, -7.220160007476807, 1.2529417021646516e-20, -2.6079303500544974e-20, -4.4707376967909345e-20
1970/01/01/01:00:05.690000,[],0,3.555288188707976e-20, -2.4163554817459295e-20, -7.220160007476807, -8.606357062455361e-21, -1.1781875161271591e-20, -2.0197500045667423e-20
1970/01/01/01:00:05.700000,[],0,1.2916333176548895e-20, -3.137444566573741e-21, -7.220160007476807, -1.4754806711433355e-20, -1.658883738169961e-20, -2.84380074016528e-20
1970/01/01/01:00:05.710000,[],0,-9.268777675713318e-21, 1.746845833703166e-20, -7.220160007476807, -2.0778812530249e-20, -2.129800245835814e-20, -3.6510863665167e-20
1970/01/01/01:00:05.720000,[],0,-3.100925956168267e-20, 3.766049608259939e-20, -7.220160007476807, -2.6680258293500418e-20, -2.5910854308029658e-20, -4.4418610154771644e-20
1970/01/01/01:00:05.730000,[],0,-5.2311829284868325e-20, 5.744492765663455e-20, -7.220160007476807, -3.246101000432725e-20, -3.0428859883831743e-20, -5.21637574928728e-20
1970/01/01/01:00:05.740000,[],0,-7.318311802266134e-20, 7.682792137081433e-20, -7.220160007476807, -3.8122899738539337e-20, -3.485345867390069e-20, -5.974878722130812e-20
