time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:03.530000,[],0,8.465999699024171e-19, 7.280815317358193e-20, -7.220149517059326, -5.209827451516186e-20, 1.2564299648130532e-19, 2.1538799581433727e-19
1970/01/01/01:00:03.530000,[],0,8.267224578912499e-19, -6.716242496526374e-21, -7.220149993896484, -3.9555379457850846e-20, 1.2309949364588718e-19, 2.1102770708572005e-19
1970/01/01/01:00:03.540000,[],0,8.071597915007356e-19, -8.46494762868258e-20, -7.220149993896484, -2.725938488868984e-20, 1.2059455810652934e-19, 2.0673352818262172e-19
1970/01/01/01:00:03.550000,[],0,7.879076797314467e-19, -1.6101557884424266e-19, -7.220150470733643, -1.5206586266380823e-20, 1.1812765995065186e-19, 2.025045543762473e-19
1970/01/01/01:00:03.560000,[],0,7.689617798851673e-19, -2.3583826577621213e-19, -7.220150947570801, -3.3933218626848314e-21, 1.156982821903719e-19, 1.9833990678719594e-19
1970/01/01/01:00:03.570000,[],0,7.261610251486243e-19, -1.3217767162168595e-19, -7.220151424407959, -1.4794634165458076e-20, 1.1051511677332634e-19, 1.894544748188191e-19
1970/01/01/01:00:03.580000,[],0,6.84143610452169e-19, -3.057709000336639e-20, -7.220151901245117, -2.5966441814545502e-20, 1.0542455681079551e-19, 1.8072780982926415e-19
1970/01/01/01:00:03.590000,[],0,6.428981620623788e-19, 6.89945468193313e-20, -7.220151901245117, -3.6912214283317144e-20, 1.0042527105898108e-19, 1.7215761122245244e-19
1970/01/01/01:00:03.600000,[],0,6.024133062458311e-19, 1.6656784776024586e-19, -7.220152378082275, -4.763538307884539e-20, 9.551592827408472e-20, 1.6374159132700237e-19
1970/01/01/01:00:03.610000,[],0,7.177088419507692e-19, 7.257590282956206e-20, -7.220152854919434, -3.559217942852456e-20, 1.1389003952193684e-19, 1.952400732910476e-19
1970/01/01/01:00:03.610000,[],0,7.138574890187223e-19, 3.1900549498986043e-21, -7.220152854919434, -2.5434891029274952e-20, 1.1242510265710542e-19, 1.9272874002663954e-19
1970/01/01/01:00:03.630000,[],0,7.720894014800186e-19, -2.2115332836155823e-19, -7.220153331756592, 1.0689725334063101e-20, 1.2107789007820173e-19, 2.0756210466245843e-19
1970/01/01/01:00:03.640000,[],0,8.290794573479314e-19, -4.409877172364007e-19, -7.220153331756592, 4.6090778381267464e-20, 1.2954553121375393e-19, 2.220780387382101e-19
1970/01/01/01:00:03.650000,[],0,8.84846785174126e-19, -6.56381361143358e-19, -7.22015380859375, 8.077920159826676e-20, 1.3783085657242062e-19, 2.3628145363878156e-19
1970/01/01/01:00:03.660000,[],0,9.743444187299134e-19, -7.968560162004688e-19, -7.22015380859375, 1.047123995398271e-19, 1.5187739149994258e-19, 2.603612499568713e-19
1970/01/01/01:00:03.670000,[],0,1.0619547363205845e-18, -9.34441536173085e-19, -7.220154285430908, 1.2815646232073012e-19, 1.656278216175647e-19, 2.8393341587279495e-19
1970/01/01/01:00:03.680000,[],0,1.147706585870002e-18, -1.0691818133324603e-18, -7.220154285430908, 1.5111882810414024e-19, 1.7908668349395895e-19, 3.0700573205418927e-19
1970/01/01/01:00:03.690000,[],0,1.2316286085068757e-18, -1.2011204297571184e-18, -7.220154762268066, 1.7360683165564535e-19, 1.9225844907431194e-19, 3.295859016205087e-19
1970/01/01/01:00:03.700000,[],0,1.313749031769609e-18, -1.330300192043759e-18, -7.220154762268066, 1.9562772373030234e-19, 2.0514755152971907e-19, 3.51681524293631e-19
1970/01/01/01:00:03.710000,[],0,1.3028232166487023e-18, -1.239234741034454e-18, -7.220155239105225, 1.8091189628964841e-19, 2.022606524178178e-19, 3.467325285381204e-19
1970/01/01/01:00:03.720000,[],0,1.2919854962630325e-18, -1.1498667680396843e-18, -7.220155239105225, 1.6647228255010184e-19, 1.994112478521199e-19, 3.418478719246299e-19
1970/01/01/01:00:03.730000,[],0,1.2812354570222934e-18, -1.062171044050767e-18, -7.220155715942383, 1.5230482415678229e-19, 1.9659889839292495e-19, 3.370267014231529e-19
1970/01/01/01:00:03.740000,[],0,1.2705722717458723e-18, -9.761230638420555e-19, -7.220155715942383, 1.3840548860420355e-19, 1.9382313875113841e-19, 3.32268241551865e-19
1970/01/01/01:00:03.750000,[],0,1.3309569734501262e-18, -9.12027319717159e-19, -7.220155715942383, 1.2790640820649475e-19, 2.0383879670429533e-19, 3.494379519784458e-19
1970/01/01/01:00:03.760000,[],0,1.1878416993838047e-18, -6.85640083577854e-19, -7.220156192779541, 9.355815978523363e-20, 1.8254263116850842e-19, 3.129302063964472e-19
1970/01/01/01:00:03.770000,[],0,1.0227728450651727e-18, -6.862614513142462e-19, -7.220156192779541, 9.335694163888157e-20, 1.5616058441053044e-19, 2.67703847911169e-19
1970/01/01/01:00:03.780000,[],0,8.609031117655895e-19, -6.868018070493964e-19, -7.220156192779541, 9.315041144203327e-20, 1.3029056245172279e-19, 2.2335525730278025e-19
1970/01/01/01:00:03.790000,[],0,7.021846264071037e-19, -6.8726265004816505e-19, -7.220156669616699, 9.293869844165944e-20, 1.0492492033376788e-19, 1.7987129015435963e-19
1970/01/01/01:00:03.800000,[],0,5.465703430923762e-19, -6.876455829729888e-19, -7.220156669616699, 9.27219318847308e-20, 8.005609710887909e-20, 1.37239021768836e-19
1970/01/01/01:00:03.810000,[],0,6.176101650620788e-19, -7.4860279705870595e-19, -7.220156669616699, 1.0309414345598928e-19, 9.186260755056184e-20, 1.5747876134011905e-19
1970/01/01/01:00:03.820000,[],0,6.871674208801449e-19, -8.082660421724487e-19, -7.220156669616699, 1.1324859973099318e-19, 1.0342381370418288e-19, 1.772979571181013e-19
1970/01/01/01:00:03.830000,[],0,7.552648063146315e-19, -8.666552223477067e-19, -7.220157146453857, 1.2318864820628391e-19, 1.147434443448472e-19, 1.967030456019242e-19
1970/01/01/01:00:03.840000,[],0,8.21924758639654e-19, -9.237899314252397e-19, -7.220157146453857, 1.3291757175491756e-19, 1.2582520886061426e-19, 2.157003598931526e-19
1970/01/01/01:00:03.850000,[],0,8.241305391406032e-19, -9.460981653651823e-19, -7.220157146453857, 1.3668011909338865e-19, 1.2641581581797713e-19, 2.167128289629175e-19
1970/01/01/01:00:03.860000,[],0,8.262098127066201e-19, -9.67865733377245e-19, -7.220157146453857, 1.4035374451601029e-19, 1.269819692484814e-19, 2.176833832400807e-19
1970/01/01/01:00:03.870000,[],0,8.281649057831775e-19, -9.891011140627063e-19, -7.220157623291016, 1.439398697394603e-19, 1.275240956671304e-19, 2.1861274650767818e-19
1970/01/01/01:00:03.880000,[],0,8.299980414181716e-19, -1.0098128894204215e-18, -7.220157623291016, 1.4743986478162822e-19, 1.2804263451362458e-19, 2.1950165547344297e-19
1970/01/01/01:00:03.880000,[],0,8.317115460570752e-19, -1.0300094346540928e-18, -7.220157623291016, 1.5085512550979775e-19, 1.285379993782702e-19, 2.203508339204111e-19
1970/01/01/01:00:03.900000,[],0,8.622423688761011e-19, -1.0178820362958763e-18, -7.220157623291016, 1.498021892135031e-19, 1.3478031787090163e-19, 2.3105199195682717e-19
1970/01/01/01:00:03.910000,[],0,8.920763437278395e-19, -1.0058953620393704e-18, -7.220157623291016, 1.487553275248319e-19, 1.4088432918017477e-19, 2.4151598180198783e-19
1970/01/01/01:00:03.920000,[],0,9.21224534152983e-19, -9.940478609209265e-19, -7.220158100128174, 1.4771452751908704e-19, 1.4685216588110637e-19, 2.517465774674378e-19
1970/01/01/01:00:03.930000,[],0,5.935731753406886e-19, -9.879951735837229e-19, -7.220158100128174, 1.4341236115319875e-19, 9.399688216496497e-20, 1.611375104364118e-19
1970/01/01/01:00:03.940000,[],0,6.462667000106362e-19, -8.298209213695087e-19, -7.220158100128174, 1.2122324122146378e-19, 1.0306757674115955e-19, 1.766872651814899e-19
1970/01/01/01:00:03.950000,[],0,6.127796370799222e-19, -8.794924450690703e-19, -7.220158100128174, 1.2870909651809797e-19, 9.777212155595992e-20, 1.6760935862432962e-19
1970/01/01/01:00:03.960000,[],0,5.799010688873176e-19, -9.280825852140836e-19, -7.220158100128174, 1.3603234620088013e-19, 9.257280026757544e-20, 1.5869622903012932e-19
1970/01/01/01:00:03.970000,[],0,5.476220515424491e-19, -9.756080405131647e-19, -7.220158100128174, 1.4319554935983036e-19, 8.746821054637388e-20, 1.4994551117932499e-19
1970/01/01/01:00:03.980000,[],0,5.159338479500966e-19, -1.0220854579761411e-18, -7.220158576965332, 1.5020114876269508e-19, 8.245696298742011e-20, 1.4135480107826137e-19
1970/01/01/01:00:03.990000,[],0,6.614624214535416e-19, -9.583962731223145e-19, -7.220158576965332, 1.3929130856736835e-19, 1.0543700975642356e-19, 1.8074916142882568e-19
1970/01/01/01:00:04.000000,[],0,8.040142304263496e-19, -8.958849934607633e-19, -7.220158576965332, 1.2858573028455393e-19, 1.279469142071157e-19, 2.1933756351942777e-19
1970/01/01/01:00:04.010000,[],0,9.436346147058463e-19, -8.345344032949889e-19, -7.220158576965332, 1.1808140245983424e-19, 1.499938236969769e-19, 2.5713227288758815e-19
1970/01/01/01:00:04.020000,[],0,1.0803681903463212e-18, -7.743273386272808e-19, -7.220158576965332, 1.0777535241288293e-19, 1.7158478864825947e-19, 2.941453482756742e-19
1970/01/01/01:00:04.030000,[],0,1.3070289130756516e-18, -6.343762371991278e-19, -7.220158576965332, 8.521547462096521e-20, 2.079509053997525e-19, 3.564872627068051e-19
1970/01/01/01:00:04.040000,[],0,1.5290256813186783e-18, -4.971607254542642e-19, -7.220158576965332, 6.309828062843114e-20, 2.435688889859796e-19, 4.1754668529696083e-19
1970/01/01/01:00:04.050000,[],0,1.7464297360056575e-18, -3.6263978040418625e-19, -7.220158576965332, 4.141711421628909e-20, 2.784501906885458e-19, 4.773431840375071e-19
1970/01/01/01:00:04.060000,[],0,1.9593108705007734e-18, -2.307729994458495e-19, -7.22015905380249, 2.0165430641059655e-20, 3.1260597744572055e-19, 5.358959908776857e-19
1970/01/01/01:00:04.070000,[],0,2.1677384645779037e-18, -1.015204969640925e-19, -7.22015905380249, -6.632358284282988e-22, 3.4604741619577335e-19, 5.932241568209795e-19
1970/01/01/01:00:04.080000,[],0,2.2303448700098984e-18, 3.7976091335682513e-20, -7.22015905380249, -2.2307768650848042e-20, 3.5832001060088706e-19, 6.142628753158064e-19
1970/01/01/01:00:04.090000,[],0,2.291475998819405e-18, 1.7467894820239357e-19, -7.22015905380249, -4.351718038871918e-20, 3.703113377483386e-19, 6.348194509110914e-19
1970/01/01/01:00:04.100000,[],0,2.3511552188587275e-18, 3.086302889278493e-19, -7.22015905380249, -6.429805440815103e-20, 3.8202579203513214e-19, 6.549013799311358e-19
1970/01/01/01:00:04.110000,[],0,2.409405897980171e-18, 4.398717471924901e-19, -7.22015905380249, -8.465687567589903e-20, 3.934677678582719e-19, 6.745161587002409e-19
1970/01/01/01:00:04.120000,[],0,2.3815898819315442e-18, 2.490012684119509e-19, -7.22015905380249, -5.34545825322846e-20, 3.8825435865007987e-19, 6.655788857719117e-19
1970/01/01/01:00:04.130000,[],0,2.354092123623597e-18, 6.192328995534518e-20, -7.22015905380249, -2.2870984943942888e-20, 3.8310637425846196e-19, 6.5675379921416e-19
1970/01/01/01:00:04.130000,[],0,2.3750675628015636e-18, -5.1110317133392374e-20, -7.22015905380249, -5.6372306238906985e-21, 3.864648826417921e-19, 6.625112347714705e-19
1970/01/01/01:00:04.150000,[],0,2.3953858069828567e-18, -1.6187814727737647e-19, -7.22015905380249, 1.1252413330165164e-20, 3.8971756360550375e-19, 6.680872592806905e-19
1970/01/01/01:00:04.160000,[],0,2.415058229900899e-18, -2.704144153809287e-19, -7.22015905380249, 2.7803139819169814e-20, 3.9286622660718685e-19, 6.73484974669117e-19
1970/01/01/01:00:04.170000,[],0,2.434095791698807e-18, -3.7675292922041287e-19, -7.22015905380249, 4.4020070658234474e-20, 3.959126294056431e-19, 6.787073277676822e-19
1970/01/01/01:00:04.180000,[],0,2.3435956152406054e-18, -4.911369894384999e-19, -7.22015905380249, 6.38696911731222e-20, 3.8306333501721506e-19, 6.566800250432779e-19
1970/01/01/01:00:04.190000,[],0,2.254671011054164e-18, -6.031842902755188e-19, -7.220159530639648, 8.331593189241961e-20, 3.7043272650323075e-19, 6.350275385339368e-19
1970/01/01/01:00:04.200000,[],0,2.167299438467791e-18, -7.129303229496269e-19, -7.220159530639648, 1.023649126601899e-19, 3.5801770193639307e-19, 6.137446466620419e-19
1970/01/01/01:00:04.210000,[],0,2.0814585636049476e-18, -8.204101392392811e-19, -7.220159530639648, 1.210226757723138e-19, 3.4581515938940495e-19, 5.928260244524001e-19
