time,data
1970/01/01/01:00:04.420000,0
1970/01/01/01:00:04.420000,0
1970/01/01/01:00:04.460000,0
1970/01/01/01:00:04.460000,0
1970/01/01/01:00:04.510000,0
1970/01/01/01:00:04.550000,0
1970/01/01/01:00:04.550000,0
1970/01/01/01:00:04.560000,0
1970/01/01/01:00:04.570000,0
1970/01/01/01:00:04.610000,0
1970/01/01/01:00:04.660000,0
1970/01/01/01:00:04.660000,0
1970/01/01/01:00:04.700000,0
1970/01/01/01:00:04.700000,0
1970/01/01/01:00:04.750000,0
1970/01/01/01:00:04.750000,0
1970/01/01/01:00:04.760000,0
1970/01/01/01:00:04.800000,0
1970/01/01/01:00:04.800000,0
1970/01/01/01:00:04.840000,0
1970/01/01/01:00:04.840000,0
1970/01/01/01:00:04.890000,0
1970/01/01/01:00:04.890000,0
1970/01/01/01:00:04.890000,0
1970/01/01/01:00:04.900000,0
1970/01/01/01:00:04.940000,0
1970/01/01/01:00:04.980000,0
1970/01/01/01:00:04.980000,0
1970/01/01/01:00:05.030000,0
1970/01/01/01:00:05.030000,0
1970/01/01/01:00:05.070000,0
1970/01/01/01:00:05.070000,0
1970/01/01/01:00:05.080000,0
1970/01/01/01:00:05.090000,0
1970/01/01/01:00:05.130000,0
1970/01/01/01:00:05.130000,0
1970/01/01/01:00:05.180000,0
1970/01/01/01:00:05.180000,0
1970/01/01/01:00:05.220000,0
1970/01/01/01:00:05.220000,0
1970/01/01/01:00:05.230000,0
1970/01/01/01:00:05.240000,0
1970/01/01/01:00:05.280000,0
1970/01/01/01:00:05.330000,0
1970/01/01/01:00:05.330000,0
1970/01/01/01:00:05.370000,0
1970/01/01/01:00:05.370000,0
1970/01/01/01:00:05.380000,0
1970/01/01/01:00:05.390000,0
1970/01/01/01:00:05.430000,0
1970/01/01/01:00:05.480000,0
1970/01/01/01:00:05.480000,0
1970/01/01/01:00:05.530000,0
1970/01/01/01:00:05.530000,0
1970/01/01/01:00:05.540000,0
1970/01/01/01:00:05.580000,0
1970/01/01/01:00:05.620000,0
1970/01/01/01:00:05.660000,0
1970/01/01/01:00:05.660000,0
1970/01/01/01:00:05.660000,0
1970/01/01/01:00:05.680000,0
1970/01/01/01:00:05.720000,0
1970/01/01/01:00:05.720000,0
1970/01/01/01:00:05.760000,0
1970/01/01/01:00:05.760000,0
1970/01/01/01:00:05.790000,0
1970/01/01/01:00:05.790000,0
1970/01/01/01:00:05.800000,0
1970/01/01/01:00:05.810000,0
1970/01/01/01:00:05.850000,0
1970/01/01/01:00:05.890000,0
1970/01/01/01:00:05.940000,0
1970/01/01/01:00:05.980000,0
1970/01/01/01:00:05.980000,0
1970/01/01/01:00:05.990000,0
1970/01/01/01:00:06.000000,0
1970/01/01/01:00:06.030000,0
1970/01/01/01:00:06.070000,0
1970/01/01/01:00:06.120000,0
1970/01/01/01:00:06.160000,0
1970/01/01/01:00:06.170000,0
1970/01/01/01:00:06.180000,0
1970/01/01/01:00:06.220000,0
1970/01/01/01:00:06.270000,0
1970/01/01/01:00:06.270000,0
1970/01/01/01:00:06.320000,0
1970/01/01/01:00:06.320000,0
1970/01/01/01:00:06.320000,0
1970/01/01/01:00:06.330000,0
1970/01/01/01:00:06.370000,0
1970/01/01/01:00:06.410000,0
1970/01/01/01:00:06.460000,0
1970/01/01/01:00:06.460000,0
1970/01/01/01:00:06.500000,0
1970/01/01/01:00:06.500000,0
1970/01/01/01:00:06.510000,0
1970/01/01/01:00:06.520000,0
1970/01/01/01:00:06.560000,0
1970/01/01/01:00:06.560000,0
1970/01/01/01:00:06.610000,0
1970/01/01/01:00:06.610000,0
1970/01/01/01:00:06.650000,0
1970/01/01/01:00:06.650000,0
1970/01/01/01:00:06.690000,0
1970/01/01/01:00:06.690000,0
1970/01/01/01:00:06.700000,0
1970/01/01/01:00:06.710000,0
1970/01/01/01:00:06.750000,0
1970/01/01/01:00:06.750000,0
1970/01/01/01:00:06.790000,0
1970/01/01/01:00:06.790000,0
1970/01/01/01:00:06.840000,0
1970/01/01/01:00:06.840000,0
1970/01/01/01:00:06.840000,0
1970/01/01/01:00:06.880000,0
1970/01/01/01:00:06.880000,0
1970/01/01/01:00:06.930000,0
1970/01/01/01:00:06.930000,0
1970/01/01/01:00:06.930000,0
1970/01/01/01:00:06.940000,0
1970/01/01/01:00:06.980000,0
1970/01/01/01:00:07.020000,0
1970/01/01/01:00:07.070000,0
1970/01/01/01:00:07.110000,0
1970/01/01/01:00:07.160000,0
1970/01/01/01:00:07.160000,0
1970/01/01/01:00:07.170000,0
1970/01/01/01:00:07.210000,0
1970/01/01/01:00:07.260000,0
1970/01/01/01:00:07.300000,0
1970/01/01/01:00:07.300000,0
1970/01/01/01:00:07.350000,0
1970/01/01/01:00:07.350000,0
1970/01/01/01:00:07.360000,0
1970/01/01/01:00:07.400000,0
1970/01/01/01:00:07.400000,0
1970/01/01/01:00:07.440000,0
1970/01/01/01:00:07.440000,0
1970/01/01/01:00:07.490000,0
1970/01/01/01:00:07.530000,0
1970/01/01/01:00:07.530000,0
1970/01/01/01:00:07.540000,0
1970/01/01/01:00:07.550000,0
1970/01/01/01:00:07.590000,0
1970/01/01/01:00:07.590000,0
1970/01/01/01:00:07.640000,0
1970/01/01/01:00:07.640000,0
1970/01/01/01:00:07.680000,0
1970/01/01/01:00:07.680000,0
1970/01/01/01:00:07.690000,0
1970/01/01/01:00:07.700000,0
1970/01/01/01:00:07.740000,0
1970/01/01/01:00:07.740000,0
1970/01/01/01:00:07.790000,0
1970/01/01/01:00:07.790000,0
1970/01/01/01:00:07.830000,0
1970/01/01/01:00:07.830000,0
1970/01/01/01:00:07.870000,0
1970/01/01/01:00:07.880000,0
1970/01/01/01:00:07.890000,0
1970/01/01/01:00:07.930000,0
1970/01/01/01:00:07.980000,0
1970/01/01/01:00:08.020000,0
1970/01/01/01:00:08.060000,0
1970/01/01/01:00:08.060000,0
1970/01/01/01:00:08.070000,0
1970/01/01/01:00:08.080000,0
1970/01/01/01:00:08.120000,0
1970/01/01/01:00:08.160000,0
1970/01/01/01:00:08.160000,0
1970/01/01/01:00:08.210000,0
1970/01/01/01:00:08.210000,0
1970/01/01/01:00:08.210000,0
1970/01/01/01:00:08.250000,0
1970/01/01/01:00:08.250000,0
1970/01/01/01:00:08.290000,0
1970/01/01/01:00:08.290000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.350000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.440000,0
1970/01/01/01:00:08.480000,0
1970/01/01/01:00:08.480000,0
1970/01/01/01:00:08.490000,0
1970/01/01/01:00:08.500000,0
1970/01/01/01:00:08.540000,0
1970/01/01/01:00:08.580000,0
1970/01/01/01:00:08.630000,0
1970/01/01/01:00:08.630000,0
1970/01/01/01:00:08.680000,0
1970/01/01/01:00:08.680000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.730000,0
1970/01/01/01:00:08.730000,0
