time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:03.790000,[],0,-5.0150295838107305e-19, 1.1396888275901021e-18, -7.220149993896484, -1.9182929743276177e-19, -8.44468881225842e-20, -1.4476609392443006e-19
1970/01/01/01:00:03.800000,[],0,-4.595405511953525e-19, 1.216133964670109e-18, -7.220150470733643, -2.026583453466968e-19, -7.77558499970369e-20, -1.3329574839121915e-19
1970/01/01/01:00:03.810000,[],0,-4.183714360664645e-19, 1.2909286696329195e-18, -7.220150947570801, -2.1325054818680317e-19, -7.119085997967591e-20, -1.220414650189465e-19
1970/01/01/01:00:03.820000,[],0,-3.779838515200742e-19, 1.364098274884793e-18, -7.220151424407959, -2.2360958949174616e-19, -6.47500439894259e-20, -1.110000772568297e-19
1970/01/01/01:00:03.820000,[],0,-3.383662428770001e-19, 1.4356681128319888e-18, -7.220151901245117, -2.3373906232731154e-19, -5.843157318165131e-20, -1.0016841209173776e-19
1970/01/01/01:00:03.840000,[],0,-2.995071071568488e-19, 1.5056631022904603e-18, -7.220151901245117, -2.4364258560867924e-19, -5.2233628405239386e-20, -8.954336759637361e-20
1970/01/01/01:00:03.850000,[],0,-2.798267226254106e-19, 1.4346813897587896e-18, -7.220152378082275, -2.3216488592283485e-19, -4.9114191374808403e-20, -8.419576125849193e-20
1970/01/01/01:00:03.860000,[],0,-2.6051197777411497e-19, 1.3649760169122882e-18, -7.220152854919434, -2.2089351610103415e-19, -4.6052233703427053e-20, -7.894668634873209e-20
1970/01/01/01:00:03.870000,[],0,-2.4155744423019205e-19, 1.2965281653920206e-18, -7.220152854919434, -2.0982547761355665e-19, -4.304690559226291e-20, -7.379469530102213e-20
1970/01/01/01:00:03.880000,[],0,-2.2295787456663095e-19, 1.2293196372245105e-18, -7.220153331756592, -1.9895782362947012e-19, -4.009738309187768e-20, -6.873836639868421e-20
1970/01/01/01:00:03.890000,[],0,-1.7577317890583051e-19, 1.1951493231078278e-18, -7.220153331756592, -1.9267242712150058e-19, -3.1433105615085136e-20, -5.3885327142748786e-20
1970/01/01/01:00:03.900000,[],0,-1.295146024136627e-19, 1.1615429393737531e-18, -7.22015380859375, -1.8649347841860896e-19, -2.2938975312885626e-20, -3.932395629444353e-20
1970/01/01/01:00:03.910000,[],0,-9.749950092063834e-20, 1.116575126528686e-18, -7.22015380859375, -1.769743873269253e-19, -1.797592071813587e-20, -3.081586408823292e-20
1970/01/01/01:00:03.920000,[],0,-6.611495016127522e-20, 1.0723949964219225e-18, -7.220154285430908, -1.6762798311280913e-19, -1.3110331263999589e-20, -2.2474852672235218e-20
1970/01/01/01:00:03.930000,[],0,-3.5351476332620167e-20, 1.0289912787176166e-18, -7.220154285430908, -1.5845173253563455e-19, -8.340741612946341e-21, -1.4298414655218624e-20
1970/01/01/01:00:03.940000,[],0,-5.199735686484326e-21, 9.863527030799223e-19, -7.220154762268066, -1.4944316697826095e-19, -3.665709853459129e-21, -6.284074553797229e-21
1970/01/01/01:00:03.950000,[],0,-2.9654521895254076e-20, 8.981070073812339e-19, -7.220154762268066, -1.3602766746054038e-19, -7.705554952004413e-21, -1.3209522659465628e-20
1970/01/01/01:00:03.960000,[],0,-5.3617249538447714e-20, 8.115363524229654e-19, -7.220155239105225, -1.2286686202330372e-19, -1.1663832287333726e-20, -1.9995141294798836e-20
1970/01/01/01:00:03.970000,[],0,-7.709535920261038e-20, 7.266159744855285e-19, -7.220155239105225, -1.0995700250440033e-19, -1.554177697581093e-20, -2.664304647504547e-20
1970/01/01/01:00:03.980000,[],0,-1.0009620180920129e-19, 6.43321316644488e-19, -7.220155715942383, -9.729432781698251e-20, -1.934060878572211e-20, -3.3155331193337485e-20
1970/01/01/01:00:03.990000,[],0,-1.2262700549505748e-19, 5.616282872645033e-19, -7.220155715942383, -8.487518673412767e-20, -2.3061530521688453e-20, -3.9534053707683463e-20
1970/01/01/01:00:04.000000,[],0,-2.6024009384652645e-19, 5.134807921447823e-19, -7.220155715942383, -7.83364532388667e-20, -4.475774774356985e-20, -7.672756756040546e-20
1970/01/01/01:00:04.010000,[],0,-3.9507490224028e-19, 4.662448500600948e-19, -7.220156192779541, -7.192066592449496e-20, -6.601555924079814e-20, -1.13169539359009e-19
1970/01/01/01:00:04.020000,[],0,-5.271735264146789e-19, 4.199070451748809e-19, -7.220156192779541, -6.562600240872541e-20, -8.684162123236497e-20, -1.4887135253043952e-19
