time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:09.820000,[],0,5.1440678852879275e-20, -2.2981703715167965e-18, -7.220150947570801, 3.4553838992632353e-19, 1.7792448988656054e-21, 3.0501341988903486e-21
1970/01/01/01:00:09.820000,[],0,-5.698822702327724e-20, -2.289418387045679e-18, -7.220151424407959, 3.4560740780868342e-19, -1.4756986138476976e-20, -2.5297692138690522e-20
1970/01/01/01:00:09.830000,[],0,-1.6324285311642118e-19, -2.280612635834746e-18, -7.220151901245117, 3.4564049503318555e-19, -3.096101812986464e-20, -5.307603107976795e-20
1970/01/01/01:00:09.840000,[],0,-2.673560701623787e-19, -2.2717547722452218e-18, -7.220151901245117, 3.4563834953347174e-19, -4.6837874339593434e-20, -8.029349794468181e-20
1970/01/01/01:00:09.850000,[],0,-3.6936028683905575e-19, -2.2628470710237914e-18, -7.220152378082275, 3.4560166924318384e-19, -6.239250815781588e-20, -1.0695858264382071e-19
1970/01/01/01:00:09.860000,[],0,-4.692874788470063e-19, -2.2538911865316798e-18, -7.220152854919434, 3.4553117794535783e-19, -7.762980835119914e-20, -1.3307967330558381e-19
1970/01/01/01:00:09.870000,[],0,-3.0663993727768184e-19, -2.073284778382005e-18, -7.220152854919434, 3.17279341111492e-19, -5.1563886758884195e-20, -8.839523444380148e-20
1970/01/01/01:00:09.870000,[],0,-1.4721466485986066e-19, -1.8960832524287513e-18, -7.220153331756592, 2.8956080312817563e-19, -2.6014127484389477e-20, -4.4595649424077866e-20
1970/01/01/01:00:09.890000,[],0,9.036809251648313e-21, -1.72223625405213e-18, -7.220153331756592, 2.623677057795894e-19, -9.72762481852639e-22, -1.667592883732636e-21
1970/01/01/01:00:09.900000,[],0,1.621623484412738e-19, -1.551693842222658e-18, -7.22015380859375, 2.3569221669930824e-19, 2.3567873300908877e-20, 4.0402066669458493e-20
1970/01/01/01:00:09.910000,[],0,8.824550829058084e-20, -1.4054454147911388e-18, -7.22015380859375, 2.134532849850611e-19, 1.1765441408945636e-20, 2.0169329052813738e-20
1970/01/01/01:00:09.920000,[],0,1.579817873189536e-20, -1.2619814840966262e-18, -7.220154285430908, 1.916377792715616e-19, 1.9788252690042303e-22, 3.392271781534899e-22
1970/01/01/01:00:09.930000,[],0,-5.875146589651059e-20, -1.3431212847431778e-18, -7.220154285430908, 2.0436899362754768e-19, -1.1988724436578834e-20, -2.0552098803336982e-20
1970/01/01/01:00:09.940000,[],0,-1.3180425127390654e-19, -1.4225039469735137e-18, -7.220154762268066, 2.1682513165576866e-19, -2.3930399744644446e-20, -4.1023544265775775e-20
1970/01/01/01:00:09.950000,[],0,-2.0338278754223133e-19, -1.500156767747848e-18, -7.220154762268066, 2.2901048435565216e-19, -3.5630850122161416e-20, -6.108145919866201e-20
1970/01/01/01:00:09.960000,[],0,-2.735094150403724e-19, -1.5761065270385122e-18, -7.220155239105225, 2.4092920055495802e-19, -4.7093728411639474e-20, -8.073210400213952e-20
1970/01/01/01:00:09.970000,[],0,-3.294261006659211e-19, -1.5207958546092351e-18, -7.220155239105225, 2.3016031710588915e-19, -5.623883370004688e-20, -9.64094319696583e-20
