time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:04.040000,[],0,-4.914817686575697e-19,,-1.0972999570998222e-18,,-7.220158576965332,,1.7759867604485555e-19,,-7.215549474558052e-20,,-1.2369512831041072e-19
1970/01/01/01:00:04.050000,[],0,-7.130988093006463e-19,,-1.3337572900163479e-18,,-7.220158576965332,,2.1521511506631369e-19,,-1.0715412038581e-19,,-1.8369277411147512e-19
1970/01/01/01:00:04.060000,[],0,-9.302121617011014e-19,,-1.5653520417019805e-18,,-7.22015905380249,,2.5205770077533432e-19,,-1.4144205570818865e-19,,-2.4247209919252256e-19
1970/01/01/01:00:04.070000,[],0,-1.142890326753412e-18,,-1.7921583482191203e-18,,-7.22015905380249,,2.881382334203434e-19,,-1.750300992971194e-19,,-3.0005159879506183e-19
1970/01/01/01:00:04.080000,[],0,-1.0256563966805325e-18,,-1.6081008391562976e-18,,-7.22015905380249,,2.5891707015553616e-19,,-1.5423726023937394e-19,,-2.6440673183892676e-19
1970/01/01/01:00:04.090000,[],0,-9.106646430555545e-19,,-1.4275636039853474e-18,,-7.22015905380249,,2.3025446059935534e-19,,-1.3384485414628658e-19,,-2.2944832139363413e-19
1970/01/01/01:00:04.100000,[],0,-7.978816684612463e-19,,-1.2504944269301024e-18,,-7.22015905380249,,2.0214208124688714e-19,,-1.138469227325075e-19,,-1.9516614402380068e-19
1970/01/01/01:00:04.110000,[],0,-6.872745407694705e-19,,-1.0768415058047013e-18,,-7.22015905380249,,1.7457172491549138e-19,,-9.423755294912669e-20,,-1.6155009261631677e-19
1970/01/01/01:00:04.120000,[],0,-5.788108448399727e-19,,-9.065539690014723e-19,,-7.22015905380249,,1.4753532659419567e-19,,-7.501094806950771e-20,,-1.2859020222974054e-19
1970/01/01/01:00:04.130000,[],0,-5.571190672515353e-19,,-1.0590246557957685e-18,,-7.22015905380249,,1.7217036789846166e-19,,-7.254857355760513e-20,,-1.243689832416088e-19
1970/01/01/01:00:04.140000,[],0,-5.358054662993994e-19,,-1.2083400621434812e-18,,-7.22015905380249,,1.9629550405387699e-19,,-7.012819784883523e-20,,-1.2021976774086039e-19
1970/01/01/01:00:04.150000,[],0,-5.148645102132187e-19,,-1.354548267917715e-18,,-7.22015905380249,,2.199185028033814e-19,,-6.774920702008711e-20,,-1.1614149590233547e-19
1970/01/01/01:00:04.160000,[],0,-4.942908740177998e-19,,-1.4976969394012684e-18,,-7.22015905380249,,2.430470414170352e-19,,-6.541102592234113e-20,,-1.1213318544905663e-19
1970/01/01/01:00:04.170000,[],0,-5.348343562602622e-19,,-1.577733798098557e-18,,-7.22015905380249,,2.5690968375462896e-19,,-7.046640485944431e-20,,-1.207995567267747e-19
1970/01/01/01:00:04.180000,[],0,-6.082745012712287e-19,,-1.5412103619343141e-18,,-7.22015905380249,,2.5083096607752404e-19,,-8.258473654266541e-20,,-1.41573835919526e-19
1970/01/01/01:00:04.190000,[],0,-6.801850859320082e-19,,-1.5052632638618675e-18,,-7.220159530639648,,2.448487183393581e-19,,-9.445244542498002e-20,,-1.6191847233223843e-19
1970/01/01/01:00:04.200000,[],0,-7.505893746973286e-19,,-1.4698845422678214e-18,,-7.220159530639648,,2.389616480704241e-19,,-1.0607335075437265e-19,,-1.8184003171102412e-19
1970/01/01/01:00:04.210000,[],0,-8.195105286243414e-19,,-1.435066442333933e-18,,-7.220159530639648,,2.331684111022265e-19,,-1.1745123300473662e-19,,-2.013449634797216e-19
1970/01/01/01:00:04.220000,[],0,-8.869712951798919e-19,,-1.4008011058443833e-18,,-7.220159530639648,,2.274677408144525e-19,,-1.285898144888284e-19,,-2.204396782880781e-19
1970/01/01/01:00:04.230000,[],0,-5.895719993201931e-19,,-1.5208791930559498e-18,,-7.220159530639648,,2.4707621233138685e-19,,-8.011790301027329e-20,,-1.3734497843542522e-19
1970/01/01/01:00:04.240000,[],0,-2.980616348858065e-19,,-1.638403566921412e-18,,-7.220159530639648,,2.662678365183828e-19,,-3.2607424203923405e-20,,-5.589844241563277e-20
1970/01/01/01:00:04.250000,[],0,-1.2351712938234696e-20,,-1.7534136219174428e-18,,-7.220159530639648,,2.850489981757934e-19,,1.3956104053289453e-20,,2.3924750036437224e-20
