time,data
1970/01/01/01:00:04.020000,0
1970/01/01/01:00:04.020000,0
1970/01/01/01:00:04.070000,0
1970/01/01/01:00:04.070000,0
1970/01/01/01:00:04.070000,0
1970/01/01/01:00:04.080000,0
1970/01/01/01:00:04.120000,0
1970/01/01/01:00:04.160000,0
1970/01/01/01:00:04.210000,0
1970/01/01/01:00:04.220000,0
1970/01/01/01:00:04.260000,0
1970/01/01/01:00:04.260000,0
1970/01/01/01:00:04.300000,0
1970/01/01/01:00:04.350000,0
1970/01/01/01:00:04.390000,0
1970/01/01/01:00:04.390000,0
1970/01/01/01:00:04.400000,0
1970/01/01/01:00:04.410000,0
1970/01/01/01:00:04.460000,0
1970/01/01/01:00:04.500000,0
1970/01/01/01:00:04.500000,0
1970/01/01/01:00:04.510000,0
1970/01/01/01:00:04.520000,0
1970/01/01/01:00:04.560000,0
1970/01/01/01:00:04.560000,0
1970/01/01/01:00:04.610000,0
1970/01/01/01:00:04.610000,0
1970/01/01/01:00:04.650000,0
1970/01/01/01:00:04.650000,0
1970/01/01/01:00:04.700000,0
1970/01/01/01:00:04.700000,0
1970/01/01/01:00:04.740000,0
1970/01/01/01:00:04.750000,0
1970/01/01/01:00:04.760000,0
1970/01/01/01:00:04.800000,0
1970/01/01/01:00:04.850000,0
1970/01/01/01:00:04.850000,0
1970/01/01/01:00:04.890000,0
1970/01/01/01:00:04.930000,0
1970/01/01/01:00:04.940000,0
1970/01/01/01:00:04.950000,0
1970/01/01/01:00:04.990000,0
1970/01/01/01:00:05.040000,0
1970/01/01/01:00:05.040000,0
1970/01/01/01:00:05.080000,0
1970/01/01/01:00:05.080000,0
1970/01/01/01:00:05.120000,0
1970/01/01/01:00:05.130000,0
1970/01/01/01:00:05.140000,0
1970/01/01/01:00:05.190000,0
1970/01/01/01:00:05.190000,0
1970/01/01/01:00:05.230000,0
1970/01/01/01:00:05.230000,0
1970/01/01/01:00:05.280000,0
1970/01/01/01:00:05.280000,0
1970/01/01/01:00:05.320000,0
1970/01/01/01:00:05.330000,0
1970/01/01/01:00:05.340000,0
1970/01/01/01:00:05.380000,0
1970/01/01/01:00:05.420000,0
1970/01/01/01:00:05.470000,0
1970/01/01/01:00:05.470000,0
1970/01/01/01:00:05.520000,0
1970/01/01/01:00:05.520000,0
1970/01/01/01:00:05.560000,0
1970/01/01/01:00:05.560000,0
1970/01/01/01:00:05.570000,0
1970/01/01/01:00:05.580000,0
1970/01/01/01:00:05.620000,0
1970/01/01/01:00:05.660000,0
1970/01/01/01:00:05.710000,0
1970/01/01/01:00:05.750000,0
1970/01/01/01:00:05.750000,0
1970/01/01/01:00:05.800000,0
1970/01/01/01:00:05.800000,0
1970/01/01/01:00:05.800000,0
1970/01/01/01:00:05.810000,0
1970/01/01/01:00:05.850000,0
1970/01/01/01:00:05.850000,0
1970/01/01/01:00:05.890000,0
1970/01/01/01:00:05.940000,0
1970/01/01/01:00:05.940000,0
1970/01/01/01:00:05.990000,0
1970/01/01/01:00:05.990000,0
1970/01/01/01:00:06.030000,0
1970/01/01/01:00:06.030000,0
1970/01/01/01:00:06.040000,0
1970/01/01/01:00:06.050000,0
1970/01/01/01:00:06.090000,0
1970/01/01/01:00:06.090000,0
1970/01/01/01:00:06.130000,0
1970/01/01/01:00:06.170000,0
1970/01/01/01:00:06.220000,0
1970/01/01/01:00:06.260000,0
1970/01/01/01:00:06.260000,0
1970/01/01/01:00:06.300000,0
1970/01/01/01:00:06.300000,0
1970/01/01/01:00:06.350000,0
1970/01/01/01:00:06.350000,0
1970/01/01/01:00:06.390000,0
1970/01/01/01:00:06.390000,0
1970/01/01/01:00:06.400000,0
1970/01/01/01:00:06.410000,0
1970/01/01/01:00:06.450000,0
1970/01/01/01:00:06.490000,0
1970/01/01/01:00:06.540000,0
1970/01/01/01:00:06.540000,0
1970/01/01/01:00:06.540000,0
1970/01/01/01:00:06.550000,0
1970/01/01/01:00:06.590000,0
1970/01/01/01:00:06.630000,0
1970/01/01/01:00:06.680000,0
1970/01/01/01:00:06.680000,0
1970/01/01/01:00:06.690000,0
1970/01/01/01:00:06.730000,0
1970/01/01/01:00:06.780000,0
1970/01/01/01:00:06.820000,0
1970/01/01/01:00:06.830000,0
1970/01/01/01:00:06.840000,0
1970/01/01/01:00:06.890000,0
1970/01/01/01:00:06.930000,0
1970/01/01/01:00:06.980000,0
1970/01/01/01:00:06.980000,0
1970/01/01/01:00:07.020000,0
1970/01/01/01:00:07.020000,0
1970/01/01/01:00:07.020000,0
1970/01/01/01:00:07.030000,0
1970/01/01/01:00:07.040000,0
1970/01/01/01:00:07.080000,0
1970/01/01/01:00:07.120000,0
1970/01/01/01:00:07.120000,0
1970/01/01/01:00:07.170000,0
1970/01/01/01:00:07.210000,0
1970/01/01/01:00:07.250000,0
1970/01/01/01:00:07.250000,0
1970/01/01/01:00:07.260000,0
1970/01/01/01:00:07.270000,0
1970/01/01/01:00:07.310000,0
1970/01/01/01:00:07.360000,0
1970/01/01/01:00:07.400000,0
1970/01/01/01:00:07.400000,0
1970/01/01/01:00:07.440000,0
1970/01/01/01:00:07.440000,0
1970/01/01/01:00:07.450000,0
1970/01/01/01:00:07.460000,0
1970/01/01/01:00:07.500000,0
1970/01/01/01:00:07.540000,0
1970/01/01/01:00:07.540000,0
1970/01/01/01:00:07.580000,0
1970/01/01/01:00:07.590000,0
1970/01/01/01:00:07.600000,0
1970/01/01/01:00:07.650000,0
1970/01/01/01:00:07.650000,0
1970/01/01/01:00:07.690000,0
1970/01/01/01:00:07.700000,0
1970/01/01/01:00:07.710000,0
1970/01/01/01:00:07.750000,0
1970/01/01/01:00:07.800000,0
1970/01/01/01:00:07.800000,0
1970/01/01/01:00:07.840000,0
1970/01/01/01:00:07.840000,0
1970/01/01/01:00:07.890000,0
1970/01/01/01:00:07.930000,0
1970/01/01/01:00:07.930000,0
1970/01/01/01:00:07.940000,0
1970/01/01/01:00:07.950000,0
