====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-5.85091e-08, -1.97499e-05, -0.0137252, -6.33099e-05, -0.000193067, -0.000315383, 0, 0, 0, 0
-8.85852e-06, -6.99877e-06, -0.0454398, -0.000390559, -0.00044807, -0.000347572, 0, 0, 0, 0
1.88893e-05, -1.79477e-05, -0.0339114, 0.000719236, 0.000276257, 0.000559092, 0, 0, 0, 0
-2.10842e-05, -2.43216e-07, -0.0104082, 0.000155598, -0.000424916, 0.000388617, 0, 0, 0, 0
-7.71019e-06, 1.35248e-05, -0.0195934, -0.000206941, -0.000562584, -0.000663012, 0, 0, 0, 0
1.66984e-05, -4.4171e-06, -0.00783016, 0.00102609, 6.20604e-05, -6.41733e-05, 0, 0, 0, 0
3.8987e-05, 8.05334e-06, -0.00950955, 0.000118528, -5.76364e-05, 0.000985978, 0, 0, 0, 0
3.60004e-05, 1.29448e-05, -0.0128174, -0.000310903, -0.000452642, 3.76661e-05, 0, 0, 0, 0
4.76185e-05, 1.51035e-05, -0.0139007, -0.000107646, -0.000243838, -0.000799744, 0, 0, 0, 0
2.13119e-05, 1.23857e-05, -0.0138139, -0.000186035, 3.20114e-05, 0.000414787, 0, 0, 0, 0
0.000133561, 1.07598e-05, -0.0196784, -0.000154719, -0.000729183, 0.00090684, 0, 0, 0, 0
0.00010859, -7.00122e-06, -0.0187497, 9.50177e-05, -0.000282421, -0.000687292, 0, 0, 0, 0
0.000362216, -1.65909e-05, -0.0212399, 0.000203994, 0.000151203, -0.000506593, 0, 0, 0, 0
8.96039e-05, -3.91904e-06, -0.0205637, 0.000297538, -0.00113799, 0.000941788, 0, 0, 0, 0
0.000486353, -1.41428e-05, -0.0230081, 0.000173857, -0.00107922, -1.74473e-05, 0, 0, 0, 0
0.000458535, -8.02876e-06, -0.0234867, 0.000538317, 0.000987648, -0.000891578, 0, 0, 0, 0
0.00112375, -5.00054e-05, -0.0237887, 0.000622888, -0.00147271, 0.000478083, 0, 0, 0, 0
0.000505385, -1.40819e-06, -0.0249735, 0.000228363, -0.0010811, 0.000643639, 0, 0, 0, 0
0.000898624, -3.16882e-05, -0.0255299, 0.000916458, 0.00173451, -0.000655524, 0, 0, 0, 0
0.00146589, -5.51899e-05, -0.0259811, 0.000552665, -0.000694986, -0.000425955, 0, 0, 0, 0
0.00239854, -8.74892e-05, -0.0252213, -0.000281341, -0.00129107, 0.000555089, 0, 0, 0, 0
0.000824001, -2.53355e-05, -0.0273967, 0.000823438, 0.00272952, 0.000194544, 0, 0, 0, 0
0.00263561, -0.000108615, -0.0258808, 0.000489754, -0.00250059, -0.000515288, 0, 0, 0, 0
0.00207926, -7.19892e-05, -0.027366, 0.000304611, -0.00200809, 2.45926e-05, 0, 0, 0, 0
0.00383542, -0.000163915, -0.0262372, 0.0012785, 0.00276327, 0.000463414, 0, 0, 0, 0
