====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
0.00323454, -2.32894e-06, 0.0318784, 0.001885, -3.49626, -1.15449e-06, 0, 0, 0, 0
0.00207498, -2.85219e-05, 0.0318304, 0.00110271, -3.36063, -2.05868e-07, 0, 0, 0, 0
0.00543875, -5.29824e-05, 0.0350817, -1.39514e-05, -3.34921, -1.86147e-06, 0, 0, 0, 0
-0.00603587, -2.16248e-05, 0.0331609, -0.000996834, -3.39101, -2.99795e-06, 0, 0, 0, 0
-0.00627133, -4.25226e-05, 0.0364526, -0.0016663, -3.37018, -9.82349e-07, 0, 0, 0, 0
-0.00574951, -8.77879e-05, 0.0396755, -0.0021048, -3.29805, 1.24548e-08, 0, 0, 0, 0
-0.00861509, -2.05158e-05, 0.0386942, -0.00219085, -3.21127, -4.84914e-07, 0, 0, 0, 0
-0.010645, 3.34531e-05, 0.0376269, -0.00195443, -3.1403, -7.90591e-07, 0, 0, 0, 0
-0.0128925, 2.96425e-05, 0.0376063, -0.00153765, -3.10486, -5.90126e-07, 0, 0, 0, 0
-0.00979704, 9.24301e-05, 0.0352502, -0.000952765, -3.10305, -1.43389e-07, 0, 0, 0, 0
-0.0119909, 0.000105232, 0.0350298, -0.000456604, -3.13188, -7.38231e-07, 0, 0, 0, 0
-0.00897736, 0.000143341, 0.0335283, 2.99304e-05, -3.1758, 5.64603e-07, 0, 0, 0, 0
-0.0074257, 0.00017102, 0.0332746, 0.000376189, -3.22047, -1.43104e-06, 0, 0, 0, 0
-0.00759043, 0.000225339, 0.0330634, 0.000354502, -3.26625, -4.46421e-06, 0, 0, 0, 0
-0.00617081, 0.000200416, 0.0343825, 0.000232098, -3.29596, -2.00616e-06, 0, 0, 0, 0
-0.00572503, 0.000208735, 0.03514, -0.000487473, -3.3104, -7.14105e-06, 0, 0, 0, 0
-0.00864539, 0.000463116, 0.0346792, -0.000333813, -3.30412, -8.74606e-06, 0, 0, 0, 0
-0.00888158, 0.000593972, 0.0350097, -0.000734506, -3.28398, -7.36537e-06, 0, 0, 0, 0
-0.00904416, 0.000615351, 0.0351075, -0.000932288, -3.25824, -3.80242e-06, 0, 0, 0, 0
-0.00934976, 0.000696076, 0.0348871, -0.000888872, -3.23411, -5.23369e-06, 0, 0, 0, 0
-0.00977911, 0.000754671, 0.034649, -0.00135812, -3.21754, -1.21039e-05, 0, 0, 0, 0
-0.00900641, 0.0011753, 0.0343013, -0.000480173, -3.20597, -1.96027e-05, 0, 0, 0, 0
-0.00886844, 0.00135073, 0.0338728, -0.000470176, -3.20411, -2.26916e-05, 0, 0, 0, 0
-0.00830488, 0.00163737, 0.0335581, -0.000290253, -3.21118, -3.02534e-05, 0, 0, 0, 0
-0.00822781, 0.0016876, 0.033206, -0.000342916, -3.22462, -3.47294e-05, 0, 0, 0, 0
-0.00775144, 0.00217559, 0.0332622, 9.08673e-05, -3.24013, -3.81562e-05, 0, 0, 0, 0
-0.00743717, 0.00285005, 0.0335493, 0.00109712, -3.24881, -3.6363e-05, 0, 0, 0, 0
-0.00749142, 0.00321726, 0.0337286, 0.000207942, -3.25623, -4.16653e-05, 0, 0, 0, 0
-0.00680574, 0.00276655, 0.0334151, -0.000833806, -3.26309, -4.34903e-05, 0, 0, 0, 0
-0.00753398, 0.00356088, 0.0335978, 0.000804732, -3.26316, -6.59077e-05, 0, 0, 0, 0
-0.00788492, 0.0040518, 0.0336217, 0.000344918, -3.25835, -6.75221e-05, 0, 0, 0, 0
-0.00787003, 0.00402382, 0.0332935, 0.000528976, -3.25012, -6.7559e-05, 0, 0, 0, 0
-0.0085469, 0.00491202, 0.0334114, 0.0010385, -3.242, -7.94789e-05, 0, 0, 0, 0
-0.00922157, 0.00600976, 0.0337669, 0.00323335, -3.23211, -8.46709e-05, 0, 0, 0, 0
-0.00929436, 0.00586661, 0.0330131, -0.00159271, -3.23519, -8.35328e-05, 0, 0, 0, 0
-0.00994604, 0.00722607, 0.033522, 0.00272243, -3.23281, -8.3832e-05, 0, 0, 0, 0
-0.00976241, 0.00673758, 0.0324974, -0.000331787, -3.23507, -9.62682e-05, 0, 0, 0, 0
-0.0105778, 0.00811838, 0.0325834, 0.00126719, -3.23812, -0.000140102, 0, 0, 0, 0
-0.0108248, 0.00852367, 0.0323471, 0.0031008, -3.24052, -0.000149124, 0, 0, 0, 0
-0.0117784, 0.00976553, 0.0327447, 0.00373036, -3.24002, -0.000141562, 0, 0, 0, 0
-0.0116708, 0.00973504, 0.0318536, -0.00290401, -3.24786, -0.000141319, 0, 0, 0, 0
-0.0128305, 0.0109585, 0.0322044, -0.00130321, -3.25248, -0.000150641, 0, 0, 0, 0
-0.0131303, 0.011337, 0.0318242, -0.00103226, -3.25238, -0.000160049, 0, 0, 0, 0
-0.0148991, 0.0130765, 0.0325552, 0.00267913, -3.24436, -0.000157837, 0, 0, 0, 0
-0.0157167, 0.0139047, 0.0324487, 0.00486302, -3.23307, -0.000169846, 0, 0, 0, 0
-0.0162614, 0.0144276, 0.0314605, -0.00210757, -3.23676, -0.000214837, 0, 0, 0, 0
-0.0178501, 0.0159536, 0.0319215, 0.000688874, -3.24028, -0.000201961, 0, 0, 0, 0
-0.0178117, 0.0159452, 0.031758, 0.00450668, -3.23368, -0.000177111, 0, 0, 0, 0
-0.0192684, 0.0174055, 0.0317541, 0.00395186, -3.23162, -0.000207405, 0, 0, 0, 0
-0.021038, 0.0191545, 0.0321434, 0.00646519, -3.22649, -0.000201384, 0, 0, 0, 0
-0.0219562, 0.0200492, 0.0316829, 0.00586222, -3.22462, -0.000236461, 0, 0, 0, 0
-0.0238807, 0.0218789, 0.0316658, 0.0065961, -3.22471, -0.00025471, 0, 0, 0, 0
-0.0237589, 0.021742, 0.0304986, -0.00295394, -3.23991, -0.000234446, 0, 0, 0, 0
-0.0270701, 0.0247104, 0.0318378, 0.00697772, -3.23735, -0.000246295, 0, 0, 0, 0
-0.0265404, 0.0243934, 0.0308835, 0.00459099, -3.23126, -0.000265278, 0, 0, 0, 0
-0.0288547, 0.0265055, 0.0307752, -0.000101409, -3.23419, -0.000282173, 0, 0, 0, 0
-0.0304952, 0.0279713, 0.0308316, -0.00064635, -3.23645, -0.000267539, 0, 0, 0, 0
-0.0323513, 0.0296636, 0.0316773, 0.0110066, -3.22126, -0.000271875, 0, 0, 0, 0
