time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.700000,[],0,9.748754557584754e-20, -1.5018320928316034e-19, -7.220160007476807, 2.829873086601418e-20, 3.129827840641326e-20, 5.36541915538513e-20
1970/01/01/01:00:06.710000,[],0,2.2212717843647457e-19, -1.617191864280985e-19, -7.220160007476807, 2.957634686501928e-20, 5.305859566341898e-20, 9.09575944122464e-20
1970/01/01/01:00:06.720000,[],0,3.4425181388107387e-19, -1.730082889342808e-19, -7.220160007476807, 3.0825454213459707e-20, 7.4378400470149e-20, 1.2750583307016888e-19
1970/01/01/01:00:06.730000,[],0,3.577675573492782e-19, 1.2197685445828787e-19, -7.220160007476807, -1.7419155464466657e-20, 7.62299990349092e-20, 1.3067999649917334e-19
1970/01/01/01:00:06.730000,[],0,3.7097719229204964e-19, 4.1105008631415177e-19, -7.220160007476807, -6.469713027961665e-20, 7.803693630894008e-20, 1.3377760694742543e-19
1970/01/01/01:00:06.750000,[],0,3.8388555254609277e-19, 6.943007679888608e-19, -7.220160007476807, -1.1102308321761633e-19, 7.979993607527761e-20, 1.3679989226114691e-19
1970/01/01/01:00:06.760000,[],0,3.9649736855053565e-19, 9.718169683682576e-19, -7.220160007476807, -1.5641141400659008e-19, 8.151969626756364e-20, 1.397480544371654e-19
1970/01/01/01:00:06.770000,[],0,4.0881729319632387e-19, 1.2436856965130252e-18, -7.220160007476807, -2.0087632688861908e-19, 8.319690835709147e-20, 1.4262326962291437e-19
1970/01/01/01:00:06.780000,[],0,3.5298177466838195e-19, 1.3097064967184857e-18, -7.220160007476807, -2.0707481773348227e-19, 7.296257099183939e-20, 1.2507869128248223e-19
1970/01/01/01:00:06.790000,[],0,2.982276655443824e-19, 1.3742758017440688e-18, -7.220160007476807, -2.1312864244402817e-19, 6.292561960025777e-20, 1.0787249443606963e-19
1970/01/01/01:00:06.800000,[],0,2.445388099529863e-19, 1.4374163590566196e-18, -7.220160007476807, -2.1904006284224424e-19, 5.30831170449372e-20, 9.099963198947029e-20
1970/01/01/01:00:06.810000,[],0,1.9189927174270493e-19, 1.4991503991351006e-18, -7.220160007476807, -2.24811353674815e-19, 4.3432158500210945e-20, 7.445512793431183e-20
1970/01/01/01:00:06.820000,[],0,1.3672478684646651e-19, 1.5378621416098526e-18, -7.220160007476807, -2.2873004427860254e-19, 3.256684065512002e-20, 5.582886877129882e-20
1970/01/01/01:00:06.830000,[],0,8.212802944695957e-20, 1.658073198104887e-18, -7.220160007476807, -2.48096539616971e-19, 2.4569802280212267e-20, 4.211965874381084e-20
1970/01/01/01:00:06.830000,[],0,2.861498527864793e-20, 1.7757142044367192e-18, -7.220160007476807, -2.670508663657408e-19, 1.6730248107942098e-20, 2.868042301991912e-20
1970/01/01/01:00:06.850000,[],0,-2.3830656626172183e-20, 1.8908248652747517e-18, -7.220160007476807, -2.8559940932526504e-19, 9.045811303158362e-21, 1.550710486033046e-20
1970/01/01/01:00:06.860000,[],0,-7.522500044005142e-20, 2.0034442649029276e-18, -7.220160007476807, -3.0374842404892616e-19, 1.5141592609623064e-21, 2.5957016479206373e-21
1970/01/01/01:00:06.860000,[],0,-1.2558394354038727e-19, 2.1136108672197306e-18, -7.220160007476807, -3.215040885419242e-19, -5.867011139079629e-21, -1.0057733496678446e-20
1970/01/01/01:00:06.880000,[],0,-1.0662138375958317e-20, 1.9355091619648663e-18, -7.220160007476807, -2.9477904617307226e-19, 1.235781985760081e-20, 2.1184833810803228e-20
1970/01/01/01:00:06.890000,[],0,1.0196228895937824e-19, 1.760775942959471e-18, -7.220160007476807, -2.685590751163664e-19, 3.0216917470084904e-20, 5.180043133350595e-20
1970/01/01/01:00:06.900000,[],0,2.1232404127725843e-19, 1.5893613725716384e-18, -7.220160007476807, -2.428366014993229e-19, 4.77158134687191e-20, 8.179853368217644e-20
1970/01/01/01:00:06.910000,[],0,3.2045731732613247e-19, 1.4212161301573452e-18, -7.220160007476807, -2.176043357927936e-19, 6.485995561331888e-20, 1.1118850641542986e-19
1970/01/01/01:00:06.920000,[],0,3.274664063972064e-19, 1.4772569962723534e-18, -7.220160007476807, -2.2709496670152663e-19, 6.569673281344723e-20, 1.126229797692646e-19
1970/01/01/01:00:06.930000,[],0,3.3430253717207433e-19, 1.532029277520435e-18, -7.220160007476807, -2.3637308974101595e-19, 6.651020678475632e-20, 1.1401750288445243e-19
1970/01/01/01:00:06.940000,[],0,3.409685530840919e-19, 1.5855528262362912e-18, -7.220160007476807, -2.454420136337118e-19, 6.730075880580973e-20, 1.15372734920544e-19
1970/01/01/01:00:06.950000,[],0,3.474671424702499e-19, 1.6378473913570467e-18, -7.220160007476807, -2.5430499540327605e-19, 6.806877015517107e-20, 1.1668932211239285e-19
1970/01/01/01:00:06.960000,[],0,3.5380099366753916e-19, 1.68893230822952e-18, -7.220160007476807, -2.629653179227648e-19, 6.881461564905541e-20, 1.1796791069485255e-19
1970/01/01/01:00:06.970000,[],0,3.9924017021479078e-19, 1.8998001885112583e-18, -7.220160007476807, -2.9841848577194073e-19, 7.498157669541355e-20, 1.2853984760995138e-19
1970/01/01/01:00:06.980000,[],0,4.437306481476265e-19, 2.1062607470917376e-18, -7.220160007476807, -3.331327486895595e-19, 8.101769457097199e-20, 1.3888747640738055e-19
1970/01/01/01:00:06.990000,[],0,4.872869289761601e-19, 2.308381295793304e-18, -7.220160007476807, -3.671194028608613e-19, 8.69249984531709e-20, 1.490142738306522e-19
1970/01/01/01:00:07.000000,[],0,5.299233849635348e-19, 2.506228836245575e-18, -7.220160007476807, -4.003896410735098e-19, 9.27054528959651e-20, 1.5892363907509605e-19
1970/01/01/01:00:07.010000,[],0,5.716541298789522e-19, 2.6998687157169417e-18, -7.220160007476807, -4.329544234706212e-19, 9.836103537800646e-20, 1.6861891963725352e-19
1970/01/01/01:00:07.020000,[],0,4.853501372706555e-19, 2.7515220090678155e-18, -7.220160007476807, -4.450701120532913e-19, 8.342528775433854e-20, 1.430147716218963e-19
1970/01/01/01:00:07.030000,[],0,4.0072371864340463e-19, 2.8018671162799367e-18, -7.220160007476807, -4.568989499091644e-19, 6.87799128374194e-20, 1.179084183142341e-19
1970/01/01/01:00:07.040000,[],0,3.1774974838609327e-19, 2.8509249236637723e-18, -7.220160007476807, -4.6844551238100385e-19, 5.442056146668461e-20, 9.329239570170829e-20
1970/01/01/01:00:07.050000,[],0,2.3640346277913313e-19, 2.8987167311200954e-18, -7.220160007476807, -4.797143489621786e-19, 4.03429587985779e-20, 6.915936255638249e-20
1970/01/01/01:00:07.060000,[],0,1.4360284533863322e-19, 2.7069818485994383e-18, -7.220160007476807, -4.502556556145979e-19, 2.2026806739154176e-20, 3.7760239201071654e-20
1970/01/01/01:00:07.070000,[],0,9.374752598437145e-20, 2.8269933477716943e-18, -7.220160007476807, -4.721011853993937e-19, 1.458300356002808e-20, 2.4999435366728335e-20
1970/01/01/01:00:07.080000,[],0,4.487993459850615e-20, 2.9443218866271346e-18, -7.220160007476807, -4.934626077306928e-19, 7.286619475695416e-21, 1.2491348134217037e-20
1970/01/01/01:00:07.090000,[],0,-3.0147954517687563e-21, 3.0590094445818462e-18, -7.220160007476807, -5.143474189327965e-19, 1.354340257237207e-22, 2.321726191325996e-22
1970/01/01/01:00:07.100000,[],0,-4.995132723528048e-20, 3.1710973806664568e-18, -7.220160007476807, -5.34763115330006e-19, -6.872741594909069e-21, -1.1781842041735347e-20
1970/01/01/01:00:07.110000,[],0,-9.594413641274869e-20, 3.2806264335261346e-18, -7.220160007476807, -5.547170381502579e-19, -1.3740066126158196e-20, -2.3554399304212212e-20
1970/01/01/01:00:07.120000,[],0,-1.7569813811463547e-19, 3.179238699050357e-18, -7.220160007476807, -5.421446166224878e-19, -2.7993485064110776e-20, -4.7988831538475616e-20
1970/01/01/01:00:07.130000,[],0,-2.5383949951356183e-19, 3.0795609536958793e-18, -7.220160007476807, -5.297694259720234e-19, -4.1959033839784965e-20, -7.192977137358158e-20
1970/01/01/01:00:07.140000,[],0,-3.3039263536229517e-19, 2.9815685888394786e-18, -7.220160007476807, -5.175887261630855e-19, -5.564107938520368e-20, -9.538470382472142e-20
1970/01/01/01:00:07.150000,[],0,-4.053816760702673e-19, 2.885238029833697e-18, -7.220160007476807, -5.055999322562599e-19, -6.904391916214306e-20, -1.1836100243157424e-19
1970/01/01/01:00:07.160000,[],0,-4.788304030800891e-19, 2.7905457020310766e-18, -7.220160007476807, -4.938003559145558e-19, -8.217179247124246e-20, -1.4086593733624254e-19
1970/01/01/01:00:07.170000,[],0,-3.079243678232177e-19, 2.727006443663275e-18, -7.220160007476807, -4.831813214033298e-19, -5.4140450969410307e-20, -9.281219796907565e-20
1970/01/01/01:00:07.180000,[],0,-1.40405650099448e-19, 2.6644655922948253e-18, -7.220160007476807, -4.727263271473306e-19, -2.66643172952503e-20, -4.571025914362173e-20
1970/01/01/01:00:07.190000,[],0,2.3776731558817115e-20, 2.6029088790601603e-18, -7.220160007476807, -4.624332017974505e-19, 2.6495868809554355e-22, 4.542149010905172e-22
1970/01/01/01:00:07.200000,[],0,1.8467308653492703e-19, 2.5423230690694795e-18, -7.220160007476807, -4.522996706070047e-19, 2.665562220529569e-20, 4.569535373672444e-20
1970/01/01/01:00:07.210000,[],0,2.6775818333765606e-19, 2.483889996622968e-18, -7.220160007476807, -4.43760891938773e-19, 4.064575537038632e-20, 6.967843777780512e-20
1970/01/01/01:00:07.220000,[],0,2.249360770015515e-19, 2.4055731566119067e-18, -7.220160007476807, -4.338104778564312e-19, 3.564845355957231e-20, 6.111163836632312e-20
1970/01/01/01:00:07.230000,[],0,1.8294793674396234e-19, 2.3285820803276148e-18, -7.220160007476807, -4.2401570297622006e-19, 3.0747534445992065e-20, 5.271005858867579e-20
1970/01/01/01:00:07.240000,[],0,1.4178126438282074e-19, 2.25289815620631e-18, -7.220160007476807, -4.143744217984258e-19, 2.5941556925922154e-20, 4.447123952124533e-20
1970/01/01/01:00:07.250000,[],0,1.014237362194694e-19, 2.178502359093903e-18, -7.220160007476807, -4.048845146727288e-19, 2.1229104129446154e-20, 3.639275132098238e-20
1970/01/01/01:00:07.260000,[],0,6.186322242570705e-20, 2.1053769046072246e-18, -7.220160007476807, -3.9554391364759757e-19, 1.6608778573693247e-20, 2.8472193225405966e-20
1970/01/01/01:00:07.270000,[],0,-7.70356083280505e-20, 1.947869515063093e-18, -7.220160007476807, -3.681718350939702e-19, -5.78637274236243e-21, -9.919495783566922e-21
