time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:06.080000,[],0,-9.021055984623152e-19, -1.2267549637352899e-18, -7.220160007476807, 1.9537312012269793e-19, -1.3216464352703824e-19, -2.265679492537538e-19
1970/01/01/01:00:06.090000,[],0,-7.553912098519872e-19, -1.1515563878384004e-18, -7.220160007476807, 1.8392566422800001e-19, -1.0860966745821923e-19, -1.8618799027863547e-19
1970/01/01/01:00:06.100000,[],0,-5.01806895557398e-19, -1.0798697106296814e-18, -7.220160007476807, 1.729789110978381e-19, -6.838939311541487e-20, -1.172389577800402e-19
1970/01/01/01:00:06.110000,[],0,-2.5324405871949436e-19, -1.0095087971477317e-18, -7.220160007476807, 1.6223378324198599e-19, -2.8966688904173555e-20, -4.965718374816118e-20
1970/01/01/01:00:06.120000,[],0,-9.627179525496059e-21, -9.404541052505799e-19, -7.220160007476807, 1.5168734675420852e-19, 9.670455450258074e-21, 1.657792247502303e-20
1970/01/01/01:00:06.130000,[],0,2.2911832802801376e-19, -8.726865063865605e-19, -7.220160007476807, 1.4133666772827056e-19, 4.7533891895094254e-20, 8.148666720419834e-20
1970/01/01/01:00:06.140000,[],0,4.630660466648418e-19, -8.061869237027967e-19, -7.220160007476807, 1.3117886395672524e-19, 8.46353043564873e-20, 1.4508909502893495e-19
1970/01/01/01:00:06.150000,[],0,5.12005515522294e-19, -6.488507088466753e-19, -7.220160007476807, 1.0151607671769417e-19, 9.087925782329822e-20, 1.5579301895052426e-19
1970/01/01/01:00:06.160000,[],0,5.599149894207528e-19, -4.945963621577733e-19, -7.220160007476807, 7.243639364937617e-20, 9.698924680496676e-20, 1.6626728392985647e-19
1970/01/01/01:00:06.170000,[],0,6.068102881894333e-19, -3.4337763906997017e-19, -7.220160007476807, 4.393106473185406e-20, 1.0296733925302432e-19, 1.7651543133392907e-19
1970/01/01/01:00:06.180000,[],0,6.527070248623975e-19, -1.9514895417669606e-19, -7.220160007476807, 1.5991448189548667e-20, 1.0881557080725958e-19, 1.865409766803454e-19
1970/01/01/01:00:06.190000,[],0,7.84230396619554e-19, -2.1201607159544728e-19, -7.220160007476807, 1.6485885707179436e-20, 1.280804263278606e-19, 2.1956645990455767e-19
1970/01/01/01:00:06.200000,[],0,9.130449586657525e-19, -2.2852464499274797e-19, -7.220160007476807, 1.696878793267421e-20, 1.469471882539734e-19, 2.519094803493225e-19
1970/01/01/01:00:06.210000,[],0,1.0391918632364674e-18, -2.446802061389446e-19, -7.220160007476807, 1.7440334196204856e-20, 1.6542191826852435e-19, 2.835804423957821e-19
1970/01/01/01:00:06.210000,[],0,1.1627118489768671e-18, -2.6048817048210993e-19, -7.220160007476807, 1.7900705443530365e-20, 1.8351061343095446e-19, 3.1458963410280514e-19
1970/01/01/01:00:06.230000,[],0,1.1306006975975586e-18, -3.252347765021149e-19, -7.220160007476807, 2.9915629856659535e-20, 1.7845780650856843e-19, 3.059276830714854e-19
1970/01/01/01:00:06.240000,[],0,1.0990187350151308e-18, -3.8865391273533713e-19, -7.220160007476807, 4.168726623447008e-20, 1.7348820878592641e-19, 2.9740836899704277e-19
1970/01/01/01:00:06.250000,[],0,1.067958516604071e-18, -4.507657675586017e-19, -7.220160007476807, 5.321929811562728e-20, 1.6860066996498907e-19, 2.890297014761283e-19
1970/01/01/01:00:06.260000,[],0,1.0374125977388659e-18, -5.115903742523689e-19, -7.220160007476807, 6.451537026470519e-20, 1.6379400097362585e-19, 2.8078971595478717e-19
1970/01/01/01:00:06.270000,[],0,1.007373947384309e-18, -5.711472749586104e-19, -7.220160007476807, 7.557906605396679e-20, 1.5906710321258572e-19, 2.7268644787906457e-19
1970/01/01/01:00:06.280000,[],0,1.0463214363336385e-18, -5.710095493866203e-19, -7.220160007476807, 7.902658036367735e-20, 1.655657959963203e-19, 2.838270714652936e-19
1970/01/01/01:00:06.290000,[],0,1.084385392991185e-18, -5.708174883881431e-19, -7.220160007476807, 8.239723796225437e-20, 1.7191794856466227e-19, 2.9471649063924794e-19
1970/01/01/01:00:06.300000,[],0,1.1215795692346318e-18, -5.705721776377329e-19, -7.220160007476807, 8.5692247308874e-20, 1.781258744383874e-19, 3.0535866035823134e-19
1970/01/01/01:00:06.310000,[],0,1.1579177169416629e-18, -5.702747028099435e-19, -7.220160007476807, 8.891278455096971e-20, 1.841918354394831e-19, 3.15757432181971e-19
1970/01/01/01:00:06.320000,[],0,1.0452057764824576e-18, -6.109752976700027e-19, -7.220160007476807, 9.470456102839823e-20, 1.6605257886211068e-19, 2.846615674563889e-19
1970/01/01/01:00:06.330000,[],0,9.346436784352777e-19, -6.50800787140769e-19, -7.220160007476807, 1.003710261053735e-19, 1.4825951029578878e-19, 2.541591531215253e-19
1970/01/01/01:00:06.340000,[],0,1.1725134222477376e-18, -6.162817646971069e-19, -7.220160007476807, 9.668665379713721e-20, 1.8718507895888572e-19, 3.20888717864973e-19
1970/01/01/01:00:06.350000,[],0,1.4055085907104226e-18, -5.823914512177734e-19, -7.220160007476807, 9.306629105114575e-20, 2.2531342645724055e-19, 3.8625159929072414e-19
1970/01/01/01:00:06.360000,[],0,1.6337033198857326e-18, -5.491207477160303e-19, -7.220160007476807, 8.950903960095266e-20, 2.6265667615670598e-19, 4.502685803116691e-19
1970/01/01/01:00:06.370000,[],0,1.8571706084627255e-18, -5.164605552051397e-19, -7.220160007476807, 8.601397533071738e-20, 2.992267963267699e-19, 5.1296018534675675e-19
1970/01/01/01:00:06.380000,[],0,1.879418871808258e-18, -5.276144136811696e-19, -7.220160007476807, 8.692213563276964e-20, 3.0238626437520446e-19, 5.183764606001774e-19
1970/01/01/01:00:06.390000,[],0,1.9010341351900343e-18, -5.3849245912170135e-19, -7.220160007476807, 8.780343841430807e-20, 3.0545233856260297e-19, 5.236325730074925e-19
1970/01/01/01:00:06.400000,[],0,1.9220271519560176e-18, -5.490990859237391e-19, -7.220160007476807, 8.86583425020787e-20, 3.0842651815382567e-19, 5.287312109056928e-19
1970/01/01/01:00:06.410000,[],0,1.9424078482735585e-18, -5.594386367854988e-19, -7.220160007476807, 8.948727441108486e-20, 3.1131037996191523e-19, 5.336749592341925e-19
1970/01/01/01:00:06.420000,[],0,2.014920155131182e-18, -6.379033870298422e-19, -7.220160007476807, 1.0298699771726952e-19, 3.2096236278888438e-19, 5.502212081234556e-19
1970/01/01/01:00:06.430000,[],0,2.0857807891006903e-18, -7.147350242510645e-19, -7.220160007476807, 1.1620642958042088e-19, 3.3038919739287424e-19, 5.663814738593861e-19
1970/01/01/01:00:06.440000,[],0,2.1550155995762256e-18, -7.899585706626954e-19, -7.220160007476807, 1.2914984161292095e-19, 3.395944768396706e-19, 5.821619602965782e-19
1970/01/01/01:00:06.450000,[],0,2.222650229156777e-18, -8.635986348879584e-19, -7.220160007476807, 1.4182148604010614e-19, 3.4858166494808855e-19, 5.975685610968963e-19
1970/01/01/01:00:06.460000,[],0,2.2887099068510275e-18, -9.356795153573472e-19, -7.220160007476807, 1.542254987650392e-19, 3.5735425138633725e-19, 6.126073250185698e-19
1970/01/01/01:00:06.470000,[],0,2.3821885538998795e-18, -7.976549175758302e-19, -7.220160007476807, 1.3295248136170672e-19, 3.727073180913867e-19, 6.389268162427234e-19
1970/01/01/01:00:06.480000,[],0,2.4735595447479463e-18, -6.623110053644444e-19, -7.220160007476807, 1.1209163254797291e-19, 3.877160191676727e-19, 6.646560107022439e-19
1970/01/01/01:00:06.490000,[],0,2.562855759824577e-18, -5.296077121622693e-19, -7.220160007476807, 9.163678078098633e-20, 4.023857829879651e-19, 6.898042141790225e-19
1970/01/01/01:00:06.500000,[],0,2.6501098727639675e-18, -3.995055659444496e-19, -7.220160007476807, 7.15818643778206e-20, 4.1672190867806303e-19, 7.143804222622207e-19
1970/01/01/01:00:06.510000,[],0,2.6780383853759016e-18, -2.1019026426369254e-19, -7.220160007476807, 4.2624080589929064e-20, 4.1917858339855724e-19, 7.185918572546696e-19
1970/01/01/01:00:06.520000,[],0,2.705140337760742e-18, -2.464025965070846e-20, -7.220160007476807, 1.424118732776188e-20, 4.215441907034882e-19, 7.226471619064991e-19
1970/01/01/01:00:06.530000,[],0,2.7314299987840556e-18, 1.5720121639521337e-19, -7.220160007476807, -1.3575470108957215e-20, 4.238203332552927e-19, 7.265491279522765e-19
1970/01/01/01:00:06.540000,[],0,2.7569203965404897e-18, 3.353901245812167e-19, -7.220160007476807, -4.083443979175364e-20, 4.260085620176193e-19, 7.303003920302045e-19
1970/01/01/01:00:06.550000,[],0,2.781625593100458e-18, 5.099817147561064e-19, -7.220160007476807, -6.754414377635639e-20, 4.2811042795411655e-19, 7.339035907784855e-19
1970/01/01/01:00:06.560000,[],0,2.8558311386719774e-18, 3.9034456650981895e-19, -7.220160007476807, -4.9332954797434537e-20, 4.389400316300256e-19, 7.524686773502608e-19
1970/01/01/01:00:06.570000,[],0,2.928267138118093e-18, 2.730611089977628e-19, -7.220160007476807, -3.1481059472393337e-20, 4.495091768105571e-19, 7.705871380900458e-19
1970/01/01/01:00:06.580000,[],0,2.998961715579631e-18, 1.580960190228426e-19, -7.220160007476807, -1.3983052046682782e-20, 4.598219476999854e-19, 7.882662108282002e-19
1970/01/01/01:00:06.590000,[],0,3.0679423748119595e-18, 4.5414409596489046e-20, -7.220160007476807, 3.166392252942046e-21, 4.698824802013733e-19, 8.055128749011425e-19
1970/01/01/01:00:06.600000,[],0,2.9477141543192146e-18, 2.370064871392071e-20, -7.220160007476807, 7.906073549127497e-21, 4.5110191308002795e-19, 7.733175578945067e-19
1970/01/01/01:00:06.610000,[],0,2.797266958098376e-18, 9.12983282011329e-20, -7.220160007476807, -1.778178813305628e-21, 4.275720367729211e-19, 7.329806123112412e-19
1970/01/01/01:00:06.620000,[],0,2.8773353530565185e-18, 6.941938161205971e-20, -7.220160007476807, 8.52096803177095e-22, 4.40081023887466e-19, 7.544245976074307e-19
1970/01/01/01:00:06.630000,[],0,2.9555146742907428e-18, 4.79710697735256e-20, -7.220160007476807, 3.4296818628234355e-21, 4.522957931978834e-19, 7.753642095251161e-19
1970/01/01/01:00:06.640000,[],0,3.031834907098254e-18, 2.694692872140787e-20, -7.220160007476807, 5.9553720422968356e-21, 4.642210492939073e-19, 7.958075647740579e-19
1970/01/01/01:00:06.650000,[],0,3.1063256231859514e-18, 6.340574867043722e-21, -7.220160007476807, 8.429952718892759e-21, 4.758613933676949e-19, 8.157624181724988e-19
