time,data
1970/01/01/01:00:07.030000,0
1970/01/01/01:00:07.080000,0
1970/01/01/01:00:07.080000,0
1970/01/01/01:00:07.130000,0
1970/01/01/01:00:07.180000,0
1970/01/01/01:00:07.180000,0
1970/01/01/01:00:07.190000,0
1970/01/01/01:00:07.230000,0
1970/01/01/01:00:07.270000,0
1970/01/01/01:00:07.320000,0
1970/01/01/01:00:07.370000,0
1970/01/01/01:00:07.410000,0
1970/01/01/01:00:07.410000,0
1970/01/01/01:00:07.410000,0
1970/01/01/01:00:07.420000,0
1970/01/01/01:00:07.460000,0
1970/01/01/01:00:07.460000,0
1970/01/01/01:00:07.500000,0
1970/01/01/01:00:07.550000,0
1970/01/01/01:00:07.590000,0
1970/01/01/01:00:07.640000,0
1970/01/01/01:00:07.640000,0
1970/01/01/01:00:07.650000,0
1970/01/01/01:00:07.690000,0
1970/01/01/01:00:07.740000,0
1970/01/01/01:00:07.780000,0
1970/01/01/01:00:07.780000,0
1970/01/01/01:00:07.790000,0
1970/01/01/01:00:07.800000,0
1970/01/01/01:00:07.840000,0
1970/01/01/01:00:07.840000,0
1970/01/01/01:00:07.880000,0
1970/01/01/01:00:07.930000,0
1970/01/01/01:00:07.930000,0
1970/01/01/01:00:07.970000,0
1970/01/01/01:00:08.020000,0
1970/01/01/01:00:08.060000,0
1970/01/01/01:00:08.060000,0
1970/01/01/01:00:08.070000,0
1970/01/01/01:00:08.080000,0
1970/01/01/01:00:08.110000,0
1970/01/01/01:00:08.110000,0
1970/01/01/01:00:08.150000,0
1970/01/01/01:00:08.150000,0
1970/01/01/01:00:08.200000,0
1970/01/01/01:00:08.200000,0
1970/01/01/01:00:08.240000,0
1970/01/01/01:00:08.240000,0
1970/01/01/01:00:08.250000,0
1970/01/01/01:00:08.260000,0
1970/01/01/01:00:08.300000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.340000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.390000,0
1970/01/01/01:00:08.400000,0
1970/01/01/01:00:08.440000,0
1970/01/01/01:00:08.440000,0
1970/01/01/01:00:08.490000,0
1970/01/01/01:00:08.530000,0
1970/01/01/01:00:08.530000,0
1970/01/01/01:00:08.580000,0
1970/01/01/01:00:08.580000,0
1970/01/01/01:00:08.620000,0
1970/01/01/01:00:08.620000,0
1970/01/01/01:00:08.630000,0
1970/01/01/01:00:08.640000,0
1970/01/01/01:00:08.680000,0
1970/01/01/01:00:08.720000,0
1970/01/01/01:00:08.720000,0
1970/01/01/01:00:08.770000,0
1970/01/01/01:00:08.770000,0
1970/01/01/01:00:08.810000,0
1970/01/01/01:00:08.810000,0
1970/01/01/01:00:08.850000,0
1970/01/01/01:00:08.850000,0
1970/01/01/01:00:08.860000,0
1970/01/01/01:00:08.870000,0
1970/01/01/01:00:08.910000,0
1970/01/01/01:00:08.950000,0
1970/01/01/01:00:09.000000,0
1970/01/01/01:00:09.000000,0
1970/01/01/01:00:09.040000,0
1970/01/01/01:00:09.040000,0
1970/01/01/01:00:09.050000,0
1970/01/01/01:00:09.060000,0
1970/01/01/01:00:09.110000,0
1970/01/01/01:00:09.110000,0
1970/01/01/01:00:09.160000,0
1970/01/01/01:00:09.160000,0
1970/01/01/01:00:09.200000,0
1970/01/01/01:00:09.250000,0
1970/01/01/01:00:09.290000,0
1970/01/01/01:00:09.300000,0
1970/01/01/01:00:09.310000,0
1970/01/01/01:00:09.350000,0
1970/01/01/01:00:09.390000,0
1970/01/01/01:00:09.390000,0
1970/01/01/01:00:09.440000,0
1970/01/01/01:00:09.440000,0
1970/01/01/01:00:09.450000,0
1970/01/01/01:00:09.490000,0
1970/01/01/01:00:09.490000,0
1970/01/01/01:00:09.540000,0
1970/01/01/01:00:09.580000,0
1970/01/01/01:00:09.580000,0
1970/01/01/01:00:09.600000,0
1970/01/01/01:00:09.640000,0
1970/01/01/01:00:09.690000,0
1970/01/01/01:00:09.730000,0
1970/01/01/01:00:09.730000,0
1970/01/01/01:00:09.740000,0
1970/01/01/01:00:09.750000,0
1970/01/01/01:00:09.790000,0
1970/01/01/01:00:09.830000,0
1970/01/01/01:00:09.880000,0
1970/01/01/01:00:09.880000,0
1970/01/01/01:00:09.880000,0
1970/01/01/01:00:09.890000,0
1970/01/01/01:00:09.930000,0
1970/01/01/01:00:09.970000,0
1970/01/01/01:00:09.980000,0
1970/01/01/01:00:10.020000,0
1970/01/01/01:00:10.070000,0
1970/01/01/01:00:10.070000,0
1970/01/01/01:00:10.110000,0
1970/01/01/01:00:10.110000,0
1970/01/01/01:00:10.150000,0
1970/01/01/01:00:10.150000,0
1970/01/01/01:00:10.160000,0
1970/01/01/01:00:10.170000,0
1970/01/01/01:00:10.210000,0
1970/01/01/01:00:10.210000,0
