time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:06.780000,[],0,1.0297148549584474e-18, 4.1212402524318703e-19, -7.220156192779541, -7.285225223998866e-20, 1.5612257287644422e-19, 2.676386815885363e-19
1970/01/01/01:00:06.780000,[],0,1.1660229495713403e-18, 3.3486907834349073e-19, -7.220156192779541, -5.97595211822257e-20, 1.7786029776296958e-19, 3.0490337497920333e-19
1970/01/01/01:00:06.790000,[],0,1.2994882312140416e-18, 2.5912572646505267e-19, -7.220156669616699, -4.692267004590292e-20, 1.9914547730624602e-19, 3.4139225050347805e-19
1970/01/01/01:00:06.800000,[],0,1.4301543336638635e-18, 1.848713643126954e-19, -7.220156669616699, -3.4337860195990197e-20, 2.1998503914390365e-19, 3.7711722473206005e-19
1970/01/01/01:00:06.810000,[],0,1.4094182598756545e-18, 2.0530045069607067e-19, -7.220156669616699, -3.62332605591245e-20, 2.1570092857982374e-19, 3.6977302411532557e-19
1970/01/01/01:00:06.820000,[],0,1.388955879472624e-18, 2.253004500613811e-19, -7.220156669616699, -3.8087130639394954e-20, 2.1148092451321668e-19, 3.6253870927308993e-19
1970/01/01/01:00:06.830000,[],0,1.3687638837323217e-18, 2.4487790230534476e-19, -7.220157146453857, -3.9900113440480856e-20, 2.0732416098937872e-19, 3.554128584886753e-19
1970/01/01/01:00:06.840000,[],0,1.348838860534721e-18, 2.6403930855058836e-19, -7.220157146453857, -4.1672845503712956e-20, 2.032298108276973e-19, 3.483939466478273e-19
1970/01/01/01:00:06.850000,[],0,1.4631208931941284e-18, 2.264552975940817e-19, -7.220157146453857, -3.661405444658299e-20, 2.2200630666946526e-19, 3.8058225846865054e-19
1970/01/01/01:00:06.860000,[],0,1.5749709114550534e-18, 1.8960033002526692e-19, -7.220157146453857, -3.1652780228854785e-20, 2.4038509665765713e-19, 4.120887408201828e-19
1970/01/01/01:00:06.870000,[],0,1.6844265520353671e-18, 1.5346349739981594e-19, -7.220157623291016, -2.6787563975346432e-20, 2.5837226832459343e-19, 4.429238885564459e-19
1970/01/01/01:00:06.880000,[],0,1.7915245210747515e-18, 1.1803405929446265e-19, -7.220157623291016, -2.2016974275857306e-20, 2.759738445791093e-19, 4.730979897363084e-19
1970/01/01/01:00:06.890000,[],0,1.896301421315312e-18, 8.330140453291165e-20, -7.220157623291016, -1.733959426047098e-20, 2.931957966312516e-19, 5.02621358268033e-19
1970/01/01/01:00:06.900000,[],0,1.8775260757715835e-18, 1.2155892145379545e-19, -7.220157623291016, -2.493812383499711e-20, 2.90526846686061e-19, 4.980460672036374e-19
1970/01/01/01:00:06.910000,[],0,1.8589385002269045e-18, 1.5903914709282084e-19, -7.220157623291016, -3.2382191970413166e-20, 2.878822468701524e-19, 4.935124453625991e-19
1970/01/01/01:00:06.920000,[],0,1.8405366267297435e-18, 1.9575384292432254e-19, -7.220158100128174, -3.9674138036889025e-20, 2.852617386895844e-19, 4.890201308534002e-19
1970/01/01/01:00:06.930000,[],0,1.8223188009188757e-18, 2.3171469287445286e-19, -7.220158100128174, -4.6816277170787557e-20, 2.826651153492039e-19, 4.845687617845226e-19
1970/01/01/01:00:06.940000,[],0,1.7992917470266245e-18, 2.1691865476377543e-19, -7.220158100128174, -4.372242134703463e-20, 2.7939979403175666e-19, 4.789710754830114e-19
1970/01/01/01:00:06.950000,[],0,1.7765451073620288e-18, 2.0239685287555347e-19, -7.220158100128174, -4.068607073172548e-20, 2.761717992394509e-19, 4.734373922813965e-19
1970/01/01/01:00:06.960000,[],0,1.7540757799977915e-18, 1.8814524177960372e-19, -7.220158100128174, -3.770637875720194e-20, 2.729807690807686e-19, 4.679670400954302e-19
1970/01/01/01:00:06.970000,[],0,1.731880559609039e-18, 1.7415985359392533e-19, -7.220158100128174, -3.478251178050293e-20, 2.6982626411600934e-19, 4.625592951420765e-19
1970/01/01/01:00:06.980000,[],0,1.7099560340757443e-18, 1.6043675921060868e-19, -7.220158576965332, -3.191364262101589e-20, 2.6670787075486686e-19, 4.572134853370877e-19
1970/01/01/01:00:06.990000,[],0,1.738728684502789e-18, 2.633546614973359e-19, -7.220158576965332, -5.0178940844226075e-20, 2.7124552510139134e-19, 4.649923435163247e-19
1970/01/01/01:00:07.000000,[],0,1.7667521160900135e-18, 3.641879006193675e-19, -7.220158576965332, -6.807391418460539e-20, 2.7566533206002117e-19, 4.7256916283094555e-19
1970/01/01/01:00:07.010000,[],0,1.794038116161147e-18, 4.629680257622543e-19, -7.220158576965332, -8.560418488537978e-20, 2.799691786365287e-19, 4.79947148605824e-19
1970/01/01/01:00:07.020000,[],0,1.820599299220531e-18, 5.597262371447259e-19, -7.220158576965332, -1.027752847168957e-19, 2.841589259872922e-19, 4.871296095634102e-19
1970/01/01/01:00:07.030000,[],0,1.846447039001588e-18, 6.54493373093994e-19, -7.220158576965332, -1.1959268728836277e-19, 2.8823648696747823e-19, 4.941196993297896e-19
1970/01/01/01:00:07.040000,[],0,1.9423522203773643e-18, 8.657159587621527e-19, -7.220158576965332, -1.5340293226934057e-19, 3.032633860172404e-19, 5.19880119857434e-19
1970/01/01/01:00:07.050000,[],0,2.0361451960589864e-18, 1.0726275375716265e-18, -7.220158576965332, -1.8652164133352698e-19, 3.1795943867137546e-19, 5.450733529788084e-19
1970/01/01/01:00:07.060000,[],0,2.127858432885497e-18, 1.2752935084895953e-18, -7.22015905380249, -2.189593351843379e-19, 3.3232976310992365e-19, 5.697081874879212e-19
1970/01/01/01:00:07.070000,[],0,2.2175248112862453e-18, 1.4737788051941445e-18, -7.22015905380249, -2.5072635357943023e-19, 3.463794775129251e-19, 5.937933604799926e-19
1970/01/01/01:00:07.080000,[],0,2.1270275299601876e-18, 1.6215610322764901e-18, -7.22015905380249, -2.7616541443909776e-19, 3.3126748225764656e-19, 5.678871493693857e-19
1970/01/01/01:00:07.090000,[],0,2.0577645953438255e-18, 1.5652416130902047e-18, -7.22015905380249, -2.693925888304843e-19, 3.2065922694377783e-19, 5.497015319036191e-19
