time,.layout.dim,fault,Fx,Fy,Fz,Wx,Wy,Wz
1970/01/01/01:00:03.330000,[],0,1.205224072775994e-18, 3.5379933930631405e-19, -7.220160007476807, -1.0229732295685636e-19, 1.740249326811997e-19, 2.9832845233214316e-19
1970/01/01/01:00:03.340000,[],0,1.2213342423860767e-18, 4.465223310162047e-19, -7.220160007476807, -1.1864856401671005e-19, 1.7698815212930606e-19, 3.0340827187140787e-19
1970/01/01/01:00:03.340000,[],0,1.0911846108312177e-18, 5.148077966424705e-19, -7.220160007476807, -1.2845248958244753e-19, 1.5687553987841475e-19, 2.689294969344253e-19
1970/01/01/01:00:03.350000,[],0,9.635288254256294e-19, 5.816760433854916e-19, -7.220160007476807, -1.3804748742003002e-19, 1.3714950531692128e-19, 2.351134229150684e-19
1970/01/01/01:00:03.360000,[],0,8.383298181381119e-19, 6.471487330375591e-19, -7.220160007476807, -1.4743677577902822e-19, 1.1780425818053776e-19, 2.0195016242007777e-19
1970/01/01/01:00:03.370000,[],0,7.155509345277715e-19, 7.112472688970229e-19, -7.220160007476807, -1.5662353413492165e-19, 9.883414391429558e-20, 1.694299573031647e-19
1970/01/01/01:00:03.380000,[],0,5.951560888403854e-19, 7.739927440695031e-19, -7.220160007476807, -1.6561090318909858e-19, 8.023354673731732e-20, 1.3754321743910238e-19
1970/01/01/01:00:03.390000,[],0,4.457926543183563e-19, 4.799403760645587e-19, -7.220160007476807, -1.1867482700115861e-19, 5.712650835724138e-20, 9.793115995342031e-20
1970/01/01/01:00:03.400000,[],0,5.553377855011906e-19, 4.97498783830857e-19, -7.220160007476807, -1.196608779901101e-19, 7.551571565127259e-20, 1.2945551069865344e-19
1970/01/01/01:00:03.410000,[],0,6.626364492366957e-19, 5.1465626749400845e-19, -7.220160007476807, -1.2061525054654023e-19, 9.35295768176608e-20, 1.603364247872454e-19
1970/01/01/01:00:03.420000,[],0,7.67722870122716e-19, 5.314191343061838e-19, -7.220160007476807, -1.2153846165833184e-19, 1.1117381103485997e-19, 1.9058367975253055e-19
1970/01/01/01:00:03.430000,[],0,8.706307557692131e-19, 5.477935881219773e-19, -7.220160007476807, -1.2243106708745898e-19, 1.2845405347079314e-19, 2.20206930343221e-19
1970/01/01/01:00:03.440000,[],0,9.71393555292207e-19, 5.63785832795983e-19, -7.220160007476807, -1.2329357089710744e-19, 1.453758294334582e-19, 2.4921571498575526e-19
1970/01/01/01:00:03.450000,[],0,8.631755837034258e-19, 7.717471555015748e-19, -7.220160007476807, -1.5599473469771356e-19, 1.285276596206133e-19, 2.2033315293481776e-19
1970/01/01/01:00:03.460000,[],0,7.570357483073192e-19, 9.754720726999763e-19, -7.220160007476807, -1.880262570183668e-19, 1.1200361536091844e-19, 1.920061848368774e-19
1970/01/01/01:00:03.470000,[],0,6.529429264333399e-19, 1.1750249493826018e-18, -7.220160007476807, -2.193983612944504e-19, 9.579883696827492e-20, 1.6422657765989987e-19
1970/01/01/01:00:03.480000,[],0,5.5086671919397665e-19, 1.3704692199626763e-18, -7.220160007476807, -2.501210900155887e-19, 7.990858107885762e-20, 1.3698613714594206e-19
1970/01/01/01:00:03.490000,[],0,5.247328266197646e-19, 1.246340325893861e-18, -7.220160007476807, -2.299331526301668e-19, 7.546744190771188e-20, 1.29372766788004e-19
1970/01/01/01:00:03.500000,[],0,4.990691345250006e-19, 1.1245693101611282e-18, -7.220160007476807, -2.101260155945519e-19, 7.110758615644655e-20, 1.2189871173979575e-19
1970/01/01/01:00:03.510000,[],0,4.738687669708429e-19, 1.0051212243835973e-18, -7.220160007476807, -1.9069399204203274e-19, 6.6827811828234e-20, 1.1456196867327132e-19
1970/01/01/01:00:03.520000,[],0,4.491250548136028e-19, 8.87961637168271e-19, -7.220160007476807, -1.7163153727756579e-19, 6.262694923798931e-20, 1.0736048902394491e-19
1970/01/01/01:00:03.530000,[],0,4.2483130306019735e-19, 7.730564790136697e-19, -7.220160007476807, -1.5293317122959288e-19, 5.850384808767313e-20, 1.0029230823786172e-19
1970/01/01/01:00:03.540000,[],0,5.121140312789033e-19, 9.239427530434089e-19, -7.220160007476807, -1.733010591723363e-19, 7.073244036160814e-20, 1.2125560466292992e-19
1970/01/01/01:00:03.550000,[],0,5.325757912964744e-19, 9.616407856774771e-19, -7.220160007476807, -1.7836464529207965e-19, 7.436476491473895e-20, 1.2748245229316718e-19
