time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:06.860000,[],0,7.496209529951822e-19,,1.3285309561110847e-18,,-7.220157623291016,,-2.0280629435407015e-19,,1.1966109770996032e-19,,2.051332955888496e-19
1970/01/01/01:00:06.860000,[],0,8.539666853414495e-19,,1.2732088065508085e-18,,-7.220158100128174,,-1.951868752379028e-19,,1.3634565378258166e-19,,2.3373539171334334e-19
1970/01/01/01:00:06.870000,[],0,9.561400346039995e-19,,1.218865832040642e-18,,-7.220158100128174,,-1.8770033493232383e-19,,1.5268288447081023e-19,,2.6174207289316375e-19
1970/01/01/01:00:06.880000,[],0,1.056174398200064e-18,,1.1654877637150185e-18,,-7.220158100128174,,-1.8034474765746967e-19,,1.6867810182514227e-19,,2.8916246396444306e-19
1970/01/01/01:00:06.890000,[],0,1.1541024497638386e-18,,1.1130607462986779e-18,,-7.220158100128174,,-1.73118239332265e-19,,1.8433655327258866e-19,,3.160055088175545e-19
1970/01/01/01:00:06.900000,[],0,1.1982699653662607e-18,,1.0520684804345038e-18,,-7.220158100128174,,-1.6466997231762244e-19,,1.9110985709499377e-19,,3.2761690156990277e-19
1970/01/01/01:00:06.910000,[],0,1.2414342142832325e-18,,9.921907370481684e-19,,-7.220158100128174,,-1.5637420380372226e-19,,1.9772858154042804e-19,,3.3896328633350437e-19
1970/01/01/01:00:06.920000,[],0,1.2836111197415457e-18,,9.334113861177268e-19,,-7.220158576965332,,-1.4822871074266825e-19,,2.0419515645194083e-19,,3.5004885071021034e-19
1970/01/01/01:00:06.930000,[],0,1.3248161913776856e-18,,8.757142976212343e-19,,-7.220158576965332,,-1.4023130886065537e-19,,2.1051198582318738e-19,,3.608777047536893e-19
1970/01/01/01:00:06.940000,[],0,1.2125767778434013e-18,,9.701522673854947e-19,,-7.220158576965332,,-1.5525152584203174e-19,,1.922664365371019e-19,,3.295996017994041e-19
1970/01/01/01:00:06.950000,[],0,1.1024610471342703e-18,,1.0626044866917449e-18,,-7.220158576965332,,-1.6995579860350406e-19,,1.7436657119888116e-19,,2.9891412205522485e-19
1970/01/01/01:00:06.960000,[],0,1.0660709938438015e-18,,9.24618973194171e-19,,-7.220158576965332,,-1.4850293404042665e-19,,1.6846302194118141e-19,,2.8879374820639755e-19
1970/01/01/01:00:06.970000,[],0,1.0303022565909366e-18,,7.893007035817743e-19,,-7.220158576965332,,-1.2746428016908516e-19,,1.6266068598624578e-19,,2.788469013404474e-19
1970/01/01/01:00:06.980000,[],0,9.951457363889375e-19,,6.566098697875758e-19,,-7.220158576965332,,-1.0683364605958252e-19,,1.5695814161739642e-19,,2.690710999155367e-19
1970/01/01/01:00:06.990000,[],0,9.605929546365256e-19,,5.265071807324791e-19,,-7.220158576965332,,-8.660494417959823e-20,,1.5135395419325844e-19,,2.5946391408861614e-19
1970/01/01/01:00:07.000000,[],0,9.989226430658546e-19,,5.227764410735001e-19,,-7.22015905380249,,-9.00694286165632e-20,,1.5693430847599723e-19,,2.6903023202339777e-19
1970/01/01/01:00:07.010000,[],0,1.036385963201111e-18,,5.190679835922717e-19,,-7.22015905380249,,-9.345561523867119e-20,,1.6238735449258528e-19,,2.7837832937283024e-19
1970/01/01/01:00:07.020000,[],0,1.072996253329672e-18,,5.15381808288794e-19,,-7.22015905380249,,-9.676473189214397e-20,,1.677151084957657e-19,,2.8751161825694036e-19
1970/01/01/01:00:07.030000,[],0,1.1087671619316448e-18,,5.117178117654904e-19,,-7.22015905380249,,-9.999798703615769e-20,,1.7291953503949328e-19,,2.9643348494636074e-19
1970/01/01/01:00:07.040000,[],0,1.198894796921468e-18,,7.282579280014462e-19,,-7.22015905380249,,-1.3469943511663043e-19,,1.866983607165807e-19,,3.200543252714543e-19
1970/01/01/01:00:07.050000,[],0,1.2870999607701412e-18,,9.403944448488995e-19,,-7.22015905380249,,-1.686933658923833e-19,,2.001829427401465e-19,,3.431707663686495e-19
1970/01/01/01:00:07.060000,[],0,1.37341232858214e-18,,1.1481941054435255e-18,,-7.22015905380249,,-2.0199056502312216e-19,,2.133778176788627e-19,,3.6579053720679487e-19
1970/01/01/01:00:07.070000,[],0,1.4578610584740568e-18,,1.3517230325355402e-18,,-7.22015905380249,,-2.346016049110512e-19,,2.262874574779159e-19,,3.8792134090534485e-19
1970/01/01/01:00:07.080000,[],0,1.540475101767331e-18,,1.551046159803029e-18,,-7.22015905380249,,-2.6653698041019223e-19,,2.3891625653431023e-19,,4.095707513367831e-19
1970/01/01/01:00:07.090000,[],0,1.432979879238768e-18,,1.7170928450032753e-18,,-7.22015905380249,,-2.957489929894731e-19,,2.2215297613182856e-19,,3.8083364382668423e-19
1970/01/01/01:00:07.100000,[],0,1.3274912934786821e-18,,1.8796467600670164e-18,,-7.22015905380249,,-3.2434718585545136e-19,,2.0570271896771286e-19,,3.526332214377674e-19
1970/01/01/01:00:07.110000,[],0,1.2239796693825979e-18,,2.038761775131645e-18,,-7.22015905380249,,-3.523409681875948e-19,,1.8956089677450287e-19,,3.24961548406031e-19
1970/01/01/01:00:07.120000,[],0,1.1224159522314995e-18,,2.1944905195636343e-18,,-7.22015905380249,,-3.7973964576779457e-19,,1.7372296005882955e-19,,2.978107923650498e-19
1970/01/01/01:00:07.130000,[],0,1.0044674415069507e-18,,2.1500494139736103e-18,,-7.220159530639648,,-3.729923852099878e-19,,1.5494402144931515e-19,,2.6561831879176966e-19
1970/01/01/01:00:07.140000,[],0,8.887774440474014e-19,,2.1062820469925108e-18,,-7.220159530639648,,-3.663427836632506e-19,,1.3652516490020274e-19,,2.3404315460000135e-19
1970/01/01/01:00:07.150000,[],0,7.753124073392549e-19,,2.0631793196335976e-18,,-7.220159530639648,,-3.597895486578758e-19,,1.1846103958690487e-19,,2.03076058631339e-19
1970/01/01/01:00:07.160000,[],0,6.640391407604325e-19,,2.020732339705286e-18,,-7.220159530639648,,-3.533313877241563e-19,,1.0074633992127383e-19,,1.7270802237192405e-19
1970/01/01/01:00:07.170000,[],0,5.549248672791618e-19,,1.9789322150159906e-18,,-7.220159530639648,,-3.469670600911733e-19,,8.337587017508703e-20,,1.4293006315729205e-19
1970/01/01/01:00:07.180000,[],0,5.16923879745746e-19,,2.1160096909961344e-18,,-7.220159530639648,,-3.6980156184645865e-19,,7.736739176421522e-20,,1.3262981629932568e-19
1970/01/01/01:00:07.190000,[],0,4.796311656118287e-19,,2.250134132189464e-18,,-7.220159530639648,,-3.9214239187241467e-19,,7.147134529316528e-20,,1.2252231544878124e-19
1970/01/01/01:00:07.200000,[],0,4.430363334209648e-19,,2.3813508267345164e-18,,-7.220159530639648,,-4.139972015897075e-19,,6.568607640071208e-20,,1.12604704247606e-19
1970/01/01/01:00:07.210000,[],0,4.0712909511428557e-19,,2.5097052695649822e-18,,-7.220159530639648,,-4.353734873226384e-19,,6.00099436503276e-20,,1.0287418449888407e-19
1970/01/01/01:00:07.220000,[],0,3.553521641112292e-19,,2.453487593594041e-18,,-7.220159530639648,,-4.266029171371328e-19,,5.2244029555207386e-20,,8.956119721598325e-20
1970/01/01/01:00:07.230000,[],0,2.7979342860575533e-19,,2.4000312533029545e-18,,-7.220159530639648,,-4.20916102124619e-19,,4.18329921939472e-20,,7.171369628794624e-20
1970/01/01/01:00:07.240000,[],0,3.414912019842547e-19,,2.4631914561550535e-18,,-7.220159530639648,,-4.307246030331197e-19,,4.911261779293999e-20,,8.419305999680406e-20
1970/01/01/01:00:07.240000,[],0,4.01920855784922e-19,,2.5248424679795495e-18,,-7.220159530639648,,-4.402938677988335e-19,,5.624174175688788e-20,,9.641442090272777e-20
1970/01/01/01:00:07.260000,[],0,4.611017512039698e-19,,2.585007656628747e-18,,-7.220159530639648,,-4.496277738308819e-19,,6.322266145069527e-20,,1.0838170811362698e-19
1970/01/01/01:00:07.270000,[],0,5.190528875460926e-19,,2.6437112171355635e-18,,-7.220159530639648,,-4.587299658938388e-19,,7.005764192752387e-20,,1.2009880550097158e-19
1970/01/01/01:00:07.280000,[],0,4.953145617246224e-19,,2.7210461937595243e-18,,-7.220159530639648,,-4.665150796264582e-19,,6.657846210998901e-20,,1.1413451016703747e-19
1970/01/01/01:00:07.290000,[],0,4.720014067380045e-19,,2.796562407011634e-18,,-7.220159530639648,,-4.740978443017318e-19,,6.316221264249354e-20,,1.0827807789251057e-19
1970/01/01/01:00:07.300000,[],0,4.491073738280095e-19,,2.8702888082133324e-18,,-7.220159530639648,,-4.814815169433216e-19,,5.980796940919687e-20,,1.0252794478904527e-19
1970/01/01/01:00:07.310000,[],0,4.266262849894374e-19,,2.9422535215054458e-18,,-7.220159530639648,,-4.886693545748894e-19,,5.651482768130402e-20,,9.688255989299303e-20
1970/01/01/01:00:07.320000,[],0,4.0455216901224147e-19,,3.012484671028801e-18,,-7.220159530639648,,-4.956646142200972e-19,,5.328189888589135e-20,,9.134039809009946e-20
1970/01/01/01:00:07.330000,[],0,3.079457711215675e-19,,2.9087700774899118e-18,,-7.220159530639648,,-4.789047459376423e-19,,3.7386266322492456e-20,,6.409074226712992e-20
1970/01/01/01:00:07.340000,[],0,2.1324069956763496e-19,,2.80683909214684e-18,,-7.220159530639648,,-4.62432219520473e-19,,2.180480891108599e-20,,3.7379671495811906e-20
1970/01/01/01:00:07.350000,[],0,1.2040841661931076e-19,,2.706665865605443e-18,,-7.220159530639648,,-4.462428990655266e-19,,6.532799039821401e-21,,1.1199083606668935e-20
1970/01/01/01:00:07.360000,[],0,2.942073674345701e-20,,2.608225582447345e-18,,-7.220159530639648,,-4.303327262179227e-19,,-8.434423856285807e-21,,-1.445901209426322e-20
1970/01/01/01:00:07.370000,[],0,4.0385626454784e-20,,2.6137978846438084e-18,,-7.220159530639648,,-4.3096944849443538e-19,,-6.462720928404891e-21,,-1.1078950162979813e-20
