time,data
1970/01/01/01:00:05.440000,0
1970/01/01/01:00:05.480000,0
1970/01/01/01:00:05.530000,0
1970/01/01/01:00:05.540000,0
1970/01/01/01:00:05.580000,0
1970/01/01/01:00:05.630000,0
1970/01/01/01:00:05.630000,0
1970/01/01/01:00:05.670000,0
1970/01/01/01:00:05.720000,0
1970/01/01/01:00:05.760000,0
1970/01/01/01:00:05.770000,0
1970/01/01/01:00:05.780000,0
1970/01/01/01:00:05.820000,0
1970/01/01/01:00:05.860000,0
1970/01/01/01:00:05.860000,0
1970/01/01/01:00:05.910000,0
1970/01/01/01:00:05.910000,0
1970/01/01/01:00:05.950000,0
1970/01/01/01:00:05.950000,0
1970/01/01/01:00:05.960000,0
1970/01/01/01:00:05.970000,0
1970/01/01/01:00:06.010000,0
1970/01/01/01:00:06.010000,0
1970/01/01/01:00:06.060000,0
1970/01/01/01:00:06.100000,0
1970/01/01/01:00:06.150000,0
1970/01/01/01:00:06.150000,0
1970/01/01/01:00:06.150000,0
1970/01/01/01:00:06.160000,0
1970/01/01/01:00:06.200000,0
1970/01/01/01:00:06.240000,0
1970/01/01/01:00:06.240000,0
1970/01/01/01:00:06.250000,0
1970/01/01/01:00:06.290000,0
1970/01/01/01:00:06.330000,0
1970/01/01/01:00:06.330000,0
1970/01/01/01:00:06.370000,0
1970/01/01/01:00:06.370000,0
1970/01/01/01:00:06.380000,0
1970/01/01/01:00:06.390000,0
1970/01/01/01:00:06.430000,0
1970/01/01/01:00:06.430000,0
1970/01/01/01:00:06.470000,0
1970/01/01/01:00:06.470000,0
1970/01/01/01:00:06.520000,0
1970/01/01/01:00:06.560000,0
1970/01/01/01:00:06.560000,0
1970/01/01/01:00:06.570000,0
1970/01/01/01:00:06.580000,0
1970/01/01/01:00:06.620000,0
1970/01/01/01:00:06.620000,0
1970/01/01/01:00:06.670000,0
1970/01/01/01:00:06.670000,0
1970/01/01/01:00:06.710000,0
1970/01/01/01:00:06.710000,0
1970/01/01/01:00:06.720000,0
1970/01/01/01:00:06.730000,0
1970/01/01/01:00:06.770000,0
1970/01/01/01:00:06.770000,0
1970/01/01/01:00:06.810000,0
1970/01/01/01:00:06.860000,0
1970/01/01/01:00:06.860000,0
1970/01/01/01:00:06.900000,0
1970/01/01/01:00:06.900000,0
1970/01/01/01:00:06.910000,0
1970/01/01/01:00:06.920000,0
1970/01/01/01:00:06.960000,0
1970/01/01/01:00:07.000000,0
1970/01/01/01:00:07.000000,0
1970/01/01/01:00:07.050000,0
1970/01/01/01:00:07.050000,0
1970/01/01/01:00:07.050000,0
1970/01/01/01:00:07.060000,0
1970/01/01/01:00:07.100000,0
1970/01/01/01:00:07.100000,0
1970/01/01/01:00:07.140000,0
1970/01/01/01:00:07.190000,0
1970/01/01/01:00:07.230000,0
1970/01/01/01:00:07.240000,0
1970/01/01/01:00:07.250000,0
1970/01/01/01:00:07.290000,0
1970/01/01/01:00:07.290000,0
1970/01/01/01:00:07.330000,0
1970/01/01/01:00:07.330000,0
1970/01/01/01:00:07.380000,0
1970/01/01/01:00:07.380000,0
1970/01/01/01:00:07.390000,0
1970/01/01/01:00:07.390000,0
1970/01/01/01:00:07.440000,0
1970/01/01/01:00:07.480000,0
1970/01/01/01:00:07.480000,0
1970/01/01/01:00:07.530000,0
1970/01/01/01:00:07.530000,0
1970/01/01/01:00:07.540000,0
1970/01/01/01:00:07.580000,0
1970/01/01/01:00:07.630000,0
1970/01/01/01:00:07.670000,0
1970/01/01/01:00:07.670000,0
1970/01/01/01:00:07.720000,0
1970/01/01/01:00:07.720000,0
1970/01/01/01:00:07.760000,0
1970/01/01/01:00:07.760000,0
1970/01/01/01:00:07.770000,0
1970/01/01/01:00:07.780000,0
1970/01/01/01:00:07.820000,0
1970/01/01/01:00:07.820000,0
1970/01/01/01:00:07.860000,0
